source;target;correlation
n-acetylglutamic acid;putrescine;0.28690934654435846
n-acetylglutamic acid;gamma-glutamylcysteine;0.35001480455713424
n-acetylglutamic acid;pyroglutamic acid;-0.0028766975833455976
n-acetylglutamic acid;l-cysteine;-0.05951283287347635
n-acetylglutamic acid;quinate;-0.006473911129574313
n-acetylglutamic acid;l-2,4-diaminobutyric acid;0.06464773311204905
n-acetylglutamic acid;glyceric acid;0.2658607261575385
n-acetylglutamic acid;choline;-0.17072744693135047
n-acetylglutamic acid;4-acetamidobutanoate;0.25776838426467275
n-acetylglutamic acid;2-oxoarginine;0.12018208910830533
n-acetylglutamic acid;l-glutamic gamma-semialdehyde;-0.20988532133536497
n-acetylglutamic acid;uric acid;0.3875937610774639
n-acetylglutamic acid;adenine;0.3030121252658099
n-acetylglutamic acid;deoxyinosine;-0.007307012030454198
n-acetylglutamic acid;guanine;0.015426888364866151
n-acetylglutamic acid;sulfate;-0.09175847240963915
n-acetylglutamic acid;hypoxanthine;-0.05849324743059974
n-acetylglutamic acid;inosine;0.04880136183783949
n-acetylglutamic acid;d-galactose;0.020264257503738423
n-acetylglutamic acid;alpha-d-glucose;0.28346081441336685
n-acetylglutamic acid;sucrose;0.1981447601719474
n-acetylglutamic acid;taurine;0.2950706179358018
n-acetylglutamic acid;acetylphosphate;-0.2923643911016621
l-aspartic acid;n-acetyl-l-glutamate 5-semialdehyde;0.5047463646658964
l-aspartic acid;l-arginine;0.28008076952293104
l-aspartic acid;2-ketobutyric acid;-0.6782107158392586
l-aspartic acid;l-valine;-0.28270064501479697
l-aspartic acid;l-threonine;0.34191545920976774
l-aspartic acid;2-isopropylmalic acid;-0.5440320252888953
l-aspartic acid;l-tyrosine;-0.12785737901559144
l-aspartic acid;succinic acid;-0.40897046133655446
l-aspartic acid;3-(2-hydroxyphenyl)propanoic acid;-0.009898561073284557
l-aspartic acid;phenylacetylglutamine;-0.20244255242628217
l-aspartic acid;l-phenylalanine;-0.05352729029273084
l-aspartic acid;phenylacetic acid;-0.007430855834128159
l-aspartic acid;putrescine;-0.5865092369731093
l-aspartic acid;gamma-glutamylcysteine;-0.47584613111864743
l-aspartic acid;pyroglutamic acid;-0.3440216762583277
l-aspartic acid;l-cysteine;0.1626539016234937
l-aspartic acid;quinate;-0.417790569347045
l-aspartic acid;l-2,4-diaminobutyric acid;0.08277143781848247
l-aspartic acid;glyceric acid;-0.19643777046030556
l-aspartic acid;choline;0.16177398212762137
l-aspartic acid;4-acetamidobutanoate;-0.5276479135648757
l-aspartic acid;2-oxoarginine;0.09461521192746294
l-aspartic acid;l-glutamic gamma-semialdehyde;-0.06580952697358353
l-aspartic acid;uric acid;-0.29471167696318035
l-aspartic acid;adenine;-0.4189621540535904
l-aspartic acid;deoxyinosine;0.5178761427410529
l-aspartic acid;guanine;-0.1429432121779731
l-aspartic acid;sulfate;0.13227467239463658
l-aspartic acid;hypoxanthine;0.14292926865225283
l-aspartic acid;inosine;0.2427072511079569
l-aspartic acid;d-galactose;-0.1827239267021129
l-aspartic acid;alpha-d-glucose;-0.24244625859068017
l-aspartic acid;sucrose;-0.09362162809601747
l-aspartic acid;taurine;-0.4347394695343274
l-aspartic acid;acetylphosphate;-0.13274055293280113
