source;target;correlation_up_healthy;correlation_down_healthy;correlation_up_cancer;correlation_down_cancer
3-(2-hydroxyphenyl)propanoic acid;l-glutamic gamma-semialdehyde;0.37170663002659415;;0.19173514431384986;
3-(2-hydroxyphenyl)propanoic acid;d-mannose;-0.182792461;;;
3-(2-hydroxyphenyl)propanoic acid;d-galactose;-0.238477022;;-0.151066152;
3-(2-hydroxyphenyl)propanoic acid;alpha-d-glucose;-0.11149092;;-0.11318747;
3-(2-hydroxyphenyl)propanoic acid;sucrose;0.3021674753683128;;-0.268463766;
phenylacetylglutamine;l-phenylalanine;-0.131374154;;-0.042060875;
phenylacetylglutamine;putrescine;0.19060465263124063;;-0.009171636;
phenylacetylglutamine;gamma-glutamylcysteine;0.15959523475286178;;0.063936219;
phenylacetylglutamine;pyroglutamic acid;0.065003074;;-0.05436059;
phenylacetylglutamine;ornithine;-0.180777006;;0.18088927011386136;
phenylacetylglutamine;l-tyrosine;-0.182338095;;0.15297163566489178;
phenylacetylglutamine;quinate;-0.028771928;;0.052380832;
phenylacetylglutamine;4-acetamidobutanoate;-0.130242462;;-0.062140516;
phenylacetylglutamine;l-glutamic gamma-semialdehyde;-0.153611512;;-0.204437273;
phenylacetylglutamine;d-mannose;0.048593536895655515;;;
phenylacetylglutamine;d-galactose;0.22134110873381654;;0.18172106976662464;
phenylacetylglutamine;alpha-d-glucose;0.088163563;;0.047420476;
phenylacetylglutamine;sucrose;-0.058520672;;-0.245655635;
l-phenylalanine;putrescine;-0.19772261;;0.19558180728164604;
l-phenylalanine;gamma-glutamylcysteine;-0.046064707;;0.080335917;
l-phenylalanine;pyroglutamic acid;0.17182794760015996;;0.18225994130640186;
l-phenylalanine;ornithine;-0.102851307;;0.049118772172686315;
l-phenylalanine;l-tyrosine;0.39687115478343815;;-0.05744807;
l-phenylalanine;quinate;0.37605189936893857;;0.37521599848863585;
l-phenylalanine;4-acetamidobutanoate;0.03595734;;0.28542654347119845;
l-phenylalanine;l-glutamic gamma-semialdehyde;0.49543353990348865;;0.3221771965039734;
l-phenylalanine;d-mannose;-0.196820721;;;
l-phenylalanine;d-galactose;-0.248570498;;0.04840007;
