source;target;correlation_up_healthy;correlation_down_healthy;correlation_up_cancer;correlation_down_cancer
ornithine;d-galactose;0.034031051843918664;;0.9999530212615102;
ornithine;d-galactose;0.034031051843918664;;0.9999530212615102;
ornithine;d-galactose;0.034031051843918664;;0.9999530212615102;
ornithine;alpha-d-glucose;-0.29109926643406797;;0.03151225650996409;
ornithine;alpha-d-glucose;-0.29109926643406797;;0.03151225650996409;
ornithine;alpha-d-glucose;-0.29109926643406797;;0.03151225650996409;
ornithine;alpha-d-glucose;-0.29109926643406797;;0.03151225650996409;
ornithine;alpha-d-glucose;-0.29109926643406797;;0.03151225650996409;
ornithine;alpha-d-glucose;-0.29109926643406797;;0.03151225650996409;
ornithine;alpha-d-glucose;-0.29109926643406797;;0.03151225650996409;
ornithine;alpha-d-glucose;-0.29109926643406797;;0.03151225650996409;
ornithine;alpha-d-glucose;-0.29109926643406797;;0.03151225650996409;
ornithine;sucrose;0.1918953085761312;;-0.18543525068769565;
ornithine;sucrose;0.1918953085761312;;-0.18543525068769565;
ornithine;sucrose;0.1918953085761312;;-0.18543525068769565;
ornithine;sucrose;0.1918953085761312;;-0.18543525068769565;
ornithine;sucrose;0.1918953085761312;;-0.18543525068769565;
ornithine;sucrose;0.1918953085761312;;-0.18543525068769565;
ornithine;sucrose;0.1918953085761312;;-0.18543525068769565;
ornithine;sucrose;0.1918953085761312;;-0.18543525068769565;
ornithine;sucrose;0.1918953085761312;;-0.18543525068769565;
n-acetylglutamic acid;l-tyrosine;0.37657934268977666;;0.28497915937836954;
n-acetylglutamic acid;l-tyrosine;0.37657934268977666;;0.28497915937836954;
n-acetylglutamic acid;l-tyrosine;0.37657934268977666;;0.28497915937836954;
n-acetylglutamic acid;l-tyrosine;0.37657934268977666;;0.28497915937836954;
n-acetylglutamic acid;succinic acid;0.5210326374458032;;0.26218624501331933;
n-acetylglutamic acid;3-(2-hydroxyphenyl)propanoic acid;-0.2318988060740352;;0.2024635673903492;
n-acetylglutamic acid;phenylacetylglutamine;0.114075412949339;;-0.10886426260560693;
n-acetylglutamic acid;l-phenylalanine;0.08241865224336123;;0.05555096917557899;
n-acetylglutamic acid;l-phenylalanine;0.08241865224336123;;0.05555096917557899;
n-acetylglutamic acid;l-phenylalanine;0.08241865224336123;;0.05555096917557899;
n-acetylglutamic acid;l-phenylalanine;0.08241865224336123;;0.05555096917557899;
n-acetylglutamic acid;putrescine;0.22458857035109106;;0.28690934654435846;
n-acetylglutamic acid;putrescine;0.22458857035109106;;0.28690934654435846;
n-acetylglutamic acid;putrescine;0.22458857035109106;;0.28690934654435846;
n-acetylglutamic acid;putrescine;0.22458857035109106;;0.28690934654435846;
n-acetylglutamic acid;gamma-glutamylcysteine;-0.5779065248870701;;0.35001480455713424;
n-acetylglutamic acid;pyroglutamic acid;0.32526995402298786;;-0.0028766975833455976;
n-acetylglutamic acid;ornithine;0.30147706320368706;;0.021179478569608397;
n-acetylglutamic acid;ornithine;0.30147706320368706;;0.021179478569608397;
n-acetylglutamic acid;ornithine;0.30147706320368706;;0.021179478569608397;
n-acetylglutamic acid;ornithine;0.30147706320368706;;0.021179478569608397;
n-acetylglutamic acid;quinate;-0.1210814838668754;;-0.006473911129574313;
n-acetylglutamic acid;4-acetamidobutanoate;-0.2371044535033256;;0.25776838426467275;
n-acetylglutamic acid;l-glutamic gamma-semialdehyde;-0.26072806753808087;;-0.20988532133536497;
n-acetylglutamic acid;d-mannose;-0.12113587011769933;;;
n-acetylglutamic acid;d-galactose;-0.0395013210805032;;0.020264257503738423;
n-acetylglutamic acid;alpha-d-glucose;-0.12738263542806713;;0.28346081441336685;
n-acetylglutamic acid;sucrose;-0.10729378766437676;;0.1981447601719474;
l-tyrosine;succinic acid;0.27749957511050644;;0.4934864290321711;
l-tyrosine;3-(2-hydroxyphenyl)propanoic acid;0.13437389668605462;;-0.2102676101974551;
l-tyrosine;phenylacetylglutamine;-0.18233809454503824;;0.15297163566489178;
l-tyrosine;l-phenylalanine;0.39687115478343815;;-0.05744807017470961;
l-tyrosine;l-phenylalanine;0.39687115478343815;;-0.05744807017470961;
l-tyrosine;l-phenylalanine;0.39687115478343815;;-0.05744807017470961;
l-tyrosine;l-phenylalanine;0.39687115478343815;;-0.05744807017470961;
l-tyrosine;l-phenylalanine;0.39687115478343815;;-0.05744807017470961;
l-tyrosine;l-phenylalanine;0.39687115478343815;;-0.05744807017470961;
l-tyrosine;l-phenylalanine;0.39687115478343815;;-0.05744807017470961;
l-tyrosine;l-phenylalanine;0.39687115478343815;;-0.05744807017470961;
l-tyrosine;l-phenylalanine;0.39687115478343815;;-0.05744807017470961;
l-tyrosine;putrescine;0.06078389727068432;;0.500439811171172;
l-tyrosine;putrescine;0.06078389727068432;;0.500439811171172;
l-tyrosine;putrescine;0.06078389727068432;;0.500439811171172;
l-tyrosine;putrescine;0.06078389727068432;;0.500439811171172;
l-tyrosine;putrescine;0.06078389727068432;;0.500439811171172;
l-tyrosine;putrescine;0.06078389727068432;;0.500439811171172;
l-tyrosine;putrescine;0.06078389727068432;;0.500439811171172;
l-tyrosine;putrescine;0.06078389727068432;;0.500439811171172;
l-tyrosine;putrescine;0.06078389727068432;;0.500439811171172;
l-tyrosine;gamma-glutamylcysteine;-0.0946998923606058;;0.6820073204718431;
l-tyrosine;pyroglutamic acid;0.5583236991837481;;0.5121350081774259;
l-tyrosine;ornithine;0.5110978695782025;;0.543731791154133;
l-tyrosine;ornithine;0.5110978695782025;;0.543731791154133;
l-tyrosine;ornithine;0.5110978695782025;;0.543731791154133;
l-tyrosine;ornithine;0.5110978695782025;;0.543731791154133;
l-tyrosine;ornithine;0.5110978695782025;;0.543731791154133;
l-tyrosine;ornithine;0.5110978695782025;;0.543731791154133;
l-tyrosine;ornithine;0.5110978695782025;;0.543731791154133;
l-tyrosine;ornithine;0.5110978695782025;;0.543731791154133;
l-tyrosine;ornithine;0.5110978695782025;;0.543731791154133;
l-tyrosine;quinate;0.3491302006158239;;0.3970924257116228;
l-tyrosine;quinate;0.3491302006158239;;0.3970924257116228;
l-tyrosine;quinate;0.3491302006158239;;0.3970924257116228;
l-tyrosine;quinate;0.3491302006158239;;0.3970924257116228;
l-tyrosine;4-acetamidobutanoate;0.14799581242323426;;0.5840599671966722;
l-tyrosine;4-acetamidobutanoate;0.14799581242323426;;0.5840599671966722;
l-tyrosine;4-acetamidobutanoate;0.14799581242323426;;0.5840599671966722;
l-tyrosine;4-acetamidobutanoate;0.14799581242323426;;0.5840599671966722;
l-tyrosine;l-glutamic gamma-semialdehyde;0.3596829200200897;;0.06883044015214299;
l-tyrosine;l-glutamic gamma-semialdehyde;0.3596829200200897;;0.06883044015214299;
l-tyrosine;l-glutamic gamma-semialdehyde;0.3596829200200897;;0.06883044015214299;
l-tyrosine;l-glutamic gamma-semialdehyde;0.3596829200200897;;0.06883044015214299;
l-tyrosine;d-mannose;0.14300228457783618;;;
l-tyrosine;d-mannose;0.14300228457783618;;;
l-tyrosine;d-galactose;0.10247258594141474;;0.5402157791723379;
