source;target;correlation
l-aspartic acid;l-phenylalanine;-0.2471495423687163
l-aspartic acid;phenylacetic acid;-0.19522669529036737
l-aspartic acid;putrescine;0.1450270456700736
l-aspartic acid;gamma-glutamylcysteine;-0.12517681795967198
l-aspartic acid;pyroglutamic acid;-0.4083561425756885
l-aspartic acid;l-cysteine;0.4021929273720653
l-aspartic acid;quinate;-0.13202219875784219
l-aspartic acid;l-2,4-diaminobutyric acid;-0.14020623877600943
l-aspartic acid;glyceric acid;-0.24972693892532405
l-aspartic acid;choline;0.19623189918112685
l-aspartic acid;4-acetamidobutanoate;0.35337590035635436
l-aspartic acid;2-oxoarginine;0.677187272044122
l-aspartic acid;l-glutamic gamma-semialdehyde;-0.5536086081637034
l-aspartic acid;uric acid;-0.13639344782422705
l-aspartic acid;adenine;-0.24049664521220113
l-aspartic acid;deoxyinosine;-0.07817204239293482
l-aspartic acid;guanine;0.09810135581981726
l-aspartic acid;sulfate;0.022449544420231095
l-aspartic acid;hypoxanthine;0.1424990982410859
l-aspartic acid;inosine;-0.1758102360771046
l-aspartic acid;d-mannose;-0.034069922239374606
l-aspartic acid;d-galactose;-0.019118140427877777
l-aspartic acid;alpha-d-glucose;-0.2776503707895152
l-aspartic acid;sucrose;-0.05396940815806572
l-aspartic acid;taurine;-0.07881409177632656
l-aspartic acid;acetylphosphate;0.3764617424261456
n-acetyl-l-glutamate 5-semialdehyde;l-arginine;0.3243013031599597
n-acetyl-l-glutamate 5-semialdehyde;2-ketobutyric acid;-0.38524004448422816
n-acetyl-l-glutamate 5-semialdehyde;l-valine;0.20733970950468011
n-acetyl-l-glutamate 5-semialdehyde;l-threonine;0.569565660544772
n-acetyl-l-glutamate 5-semialdehyde;2-isopropylmalic acid;0.41056634155185284
n-acetyl-l-glutamate 5-semialdehyde;l-tyrosine;0.383533323712637
n-acetyl-l-glutamate 5-semialdehyde;succinic acid;0.2619516794180763
n-acetyl-l-glutamate 5-semialdehyde;3-(2-hydroxyphenyl)propanoic acid;-0.17778169631208995
n-acetyl-l-glutamate 5-semialdehyde;phenylacetylglutamine;-0.24185853349513575
n-acetyl-l-glutamate 5-semialdehyde;l-phenylalanine;0.5814474590108453
n-acetyl-l-glutamate 5-semialdehyde;phenylacetic acid;0.5049051858323287
n-acetyl-l-glutamate 5-semialdehyde;putrescine;-0.0744809003247454
n-acetyl-l-glutamate 5-semialdehyde;gamma-glutamylcysteine;-0.4046113490879044
n-acetyl-l-glutamate 5-semialdehyde;pyroglutamic acid;-0.019502669994085835
n-acetyl-l-glutamate 5-semialdehyde;l-cysteine;0.148536358555856
n-acetyl-l-glutamate 5-semialdehyde;quinate;0.3583221534736452
n-acetyl-l-glutamate 5-semialdehyde;l-2,4-diaminobutyric acid;0.20450916351112886
n-acetyl-l-glutamate 5-semialdehyde;glyceric acid;-0.1521328980810933
n-acetyl-l-glutamate 5-semialdehyde;choline;0.12797513810745004
n-acetyl-l-glutamate 5-semialdehyde;4-acetamidobutanoate;0.3376689541972855
