source;target;correlation_healthy;correlation_cancer
n-acetylglutamic acid;l-tyrosine;0.37657934268977666;0.28497915937836954
n-acetylglutamic acid;phenylacetylglutamine;0.114075412949339;-0.10886426260560693
n-acetylglutamic acid;putrescine;0.22458857035109106;0.28690934654435846
n-acetylglutamic acid;pyroglutamic acid;0.32526995402298786;-0.0028766975833455976
n-acetylglutamic acid;quinate;-0.1210814838668754;-0.006473911129574313
n-acetylglutamic acid;succinic acid;0.5210326374458032;0.26218624501331933
n-acetylglutamic acid;sucrose;-0.10729378766437676;0.1981447601719474
ornithine;3-(2-hydroxyphenyl)propanoic acid;-0.029382769350899403;-0.1480756220927893
ornithine;4-acetamidobutanoate;-0.10325060314422434;0.6331807087054373
ornithine;alpha-d-glucose;-0.29109926643406797;0.03151225650996409
ornithine;d-galactose;0.034031051843918664;0.9999530212615102
ornithine;d-mannose;0.1068719287132504;
ornithine;gamma-glutamylcysteine;0.027414976981493252;0.31631187000169286
ornithine;l-glutamic gamma-semialdehyde;0.3281863604526214;0.34009793135388217
ornithine;l-phenylalanine;-0.10285130738854718;0.049118772172686266
ornithine;l-tyrosine;0.5110978695782024;0.5437317911541328
ornithine;n-acetylglutamic acid;0.301477063203687;0.021179478569608404
ornithine;phenylacetylglutamine;-0.1807770062800172;0.18088927011386136
ornithine;putrescine;-0.11741893152709278;0.4768054282990408
ornithine;pyroglutamic acid;0.5049951473018127;0.6657278740295974
ornithine;quinate;-0.023242068613213377;0.727711073086373
ornithine;succinic acid;-0.1176347449613724;0.7214415424500552
ornithine;sucrose;0.1918953085761312;-0.18543525068769565
phenylacetylglutamine;4-acetamidobutanoate;-0.130242462110484;-0.06214051579079502
phenylacetylglutamine;alpha-d-glucose;0.0881635628816315;0.04742047641808998
phenylacetylglutamine;d-galactose;0.22134110873381654;0.18172106976662464
phenylacetylglutamine;d-mannose;0.048593536895655515;
phenylacetylglutamine;gamma-glutamylcysteine;0.15959523475286178;0.06393621912535744
phenylacetylglutamine;l-glutamic gamma-semialdehyde;-0.1536115123721127;-0.20443727318037103
phenylacetylglutamine;l-phenylalanine;-0.13137415445132225;-0.04206087482221687
phenylacetylglutamine;putrescine;0.19060465263124063;-0.00917163576721004
phenylacetylglutamine;pyroglutamic acid;0.06500307359934641;-0.05436059041066441
phenylacetylglutamine;quinate;-0.028771927540164298;0.05238083153603604
phenylacetylglutamine;sucrose;-0.05852067236547756;-0.2456556353982399
putrescine;4-acetamidobutanoate;0.37703692590002047;0.9343810779477585
putrescine;alpha-d-glucose;0.298549419268505;0.30724023635923714
putrescine;d-galactose;0.7270299981843915;0.4745630291411365
putrescine;d-mannose;0.6690585830017887;
putrescine;gamma-glutamylcysteine;-0.49829946451159934;0.5792467110000393
putrescine;l-glutamic gamma-semialdehyde;-0.3654439388063158;0.3956028481501293
putrescine;pyroglutamic acid;0.010919512688945462;0.7426478138032809
putrescine;quinate;0.24571030521603718;0.8076623732045136
putrescine;sucrose;-0.05745882615144825;-0.09212101914045666
pyroglutamic acid;4-acetamidobutanoate;-0.10282984619186204;0.8880643035505501
pyroglutamic acid;alpha-d-glucose;0.12270857977750096;0.18275724218530703
pyroglutamic acid;d-galactose;0.09795894630889211;0.6610580238842141
pyroglutamic acid;d-mannose;0.10082244440785404;
pyroglutamic acid;l-glutamic gamma-semialdehyde;0.5598889955037508;0.7278853106656439
pyroglutamic acid;quinate;0.26965374462596786;0.8918640656398553
pyroglutamic acid;sucrose;0.28870348090216413;-0.22139483537624774
quinate;4-acetamidobutanoate;0.7417352401240197;0.8939167492240477
quinate;alpha-d-glucose;0.19286733053737276;0.13920471618257077
quinate;d-galactose;0.2896706938487111;0.7262378100500335
quinate;d-mannose;0.3788486533133489;
quinate;l-glutamic gamma-semialdehyde;0.40395428808784634;0.6712856637150808
quinate;sucrose;-0.4846446939808406;-0.23845725820410518
succinic acid;3-(2-hydroxyphenyl)propanoic acid;-0.07162185370238916;-0.3146730388260436
succinic acid;4-acetamidobutanoate;-0.00340969508447449;0.6586435228535318
succinic acid;alpha-d-glucose;-0.04415451751827321;0.1496493985318768
succinic acid;d-galactose;-0.053625676763573056;0.7224787780850803
succinic acid;d-mannose;-0.12240572824536496;
succinic acid;gamma-glutamylcysteine;-0.5501628730250554;0.4752154732204063
succinic acid;l-glutamic gamma-semialdehyde;0.19045001312432153;0.3787309734317907
succinic acid;l-phenylalanine;0.32494483815332514;0.1817142313998937
succinic acid;phenylacetylglutamine;0.311721621890775;0.26887555531284574
succinic acid;putrescine;0.28596814923003333;0.5742839822390299
succinic acid;pyroglutamic acid;0.46956462241698427;0.6451619155085793
succinic acid;quinate;0.33299223173305526;0.7386331745666826
succinic acid;sucrose;-0.1706987538162195;-0.11361310841946805
