"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Label","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"L-Phenylalanine","4127917565","3892871757","4755064242","4961716778","3854100587","5111921833","4811601588","3075722878","3661856310","5210108947","3157831250","5164011732","3679386095","3493422399","3827882078","4361367317","5064369226","4335445706","4326292591","4513461722","5159543709","5119110078","6013364450","6205749492","6257584647","5713593705","7748307508","9873978314","8909350371","5790408061","7825991205","7443626918","8270981354","9261169767","8255909818","15042358174","8049368310","7168226934","8125286269","24930204643"
"L-Tryptophan","2536293836","2185699604","2318685271","2219976922","2445232618","2289635195","2653122809","1989207177","2004360234","2362684435","2021449794","2492077949","2221904261","1842261055","2534699032","2702325522","2338117221","2436072856","2406903145","2174415758","2288269844","2126185721","2068835490","1569501069","2200931776","1612037586","1320322081","2046599064","1531978976","1195126901","2060085748","1634972963","1294691018","1305367385","1553587103","2142979824","1335006343","1620577816","1164143723","1896071269"
"L-Isoleucine","1468354456","1396519301","1603909135","2384525029","1528591538","1822758761","2688644832","679537705.1","1372405178","1650521475","1471146820","1985767423","1702728040","1679247208","1496811694","2114016405","2041840489","1626849341","1875960077","2218567559","2220514768","2062905206","1645053150","1662700498","2074577830","1374880986","2101786626","2702154640","1399324490","959295424.8","1982682168","2614611464","1596581612","1802407943","2371359105","2851625951","2302250735","1919671917","1634492705","4527654342"
"L-Lactic acid","131353806","25153286.11","75296227","97769739.13","69188947.09","98804556.93","80903924.16","63211731.5","59777344.96","77294604.21","40210379.31","50296207.01","42870579.73","45412470.83","44867096.86","10004623.94","9154363.496","8222965.665","34943375.02","8820830.222","6658622.995","6363810.433","24369177.56","18866638.32","29588547.28","5871472.321","21167331.62","22532025.33","5421240.389","6183210.287","6420178.182","28265417.76","23139033.46","5830085.244","5884442.548","6570670.717","6171312.931","23549750.18","23047239.07","16644003.9"
"Pipecolic acid","285505278.4","355323692","272454431","452055740.2","346625371","224469307.8","176662763.8","364255446.7","205595733.7","246472084.5","234061716.5","341365715.2","274840817.1","172352700.1","303125133.5","283629715.9","199579252.2","216403745.9","418273648.4","298407844.3","269030699.9","143546170.9","123208517.3","159534464","185134701.4","148634139.5","121980652.2","115089566.2","82737913.92","74290138.63","273530590.6","96907185.81","130241323.1","83179294.44","97424047.92","114725991.4","71830148.26","79119077.91","58819186.11","130707182.2"
"Gentisic acid","1781614834","1112217073","1817264600","1064822077","2093984734","1107224425","1231521640","3926001328","1051085252","1241501816","1201059934","1277414990","1196206237","1224498936","1213619692","1195335039","1204831668","1235433628","1248739516","1164254873","2049414326","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Hydroquinone","24804573.01","27035555.07","26341238.9","25831045.04","194084264.3","88134476.44","21751882.46","30016449.6","248182137.8","31247116.05","34433424.05","32369132.3","154578134.7","141609852.4","161208277.2","40891754.29","43799865.01","40159121.29","242124476.9","58506888.19","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Creatinine","1026689996","944698313.5","705454370.1","921002070.5","941308485.9","715913841.7","918181772.5","1053985896","1167502790","894358279.6","935782479.6","877527987.2","952183264.2","928807068.1","925178722.5","929409098.4","769783784.9","850124254","700965447.8","1098722133","761337540.3","643590694","536637194","674653286.9","578873688.5","584429664.4","499784852","408052161.4","682285195.7","978952348.4","658970424.8","690378248.7","875726355.6","807523322.3","584056643.6","815044396","551314369","487444000.9","595212502","401228356.8"
"Ketoleucine","20272638.63","26024762.11","9369043.693","37556869.18","14203604.93","12367186.13","18811897.72","10489953.99","16462031","23997137.8","27955962.11","3973819.334","17273462.74","18573222.52","4828271.218","75475321.66","19494067.12","26360682.4","53236171.13","28367754.75","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","91803522.25"
"Benzoate","471555846.5","143697410.8","418645095.6","171228289.1","300764627.6","371979764.6","596157634","112609019.5","475850262.4","364485371.1","307019108","176674721.1","353594625.4","305229032.6","322180517.5","435205662.1","440559354.6","336006465.6","406780085.9","356524381.5","502057449.3","449304977","458669589.6","317109191.6","561061824.2","418641712.6","431700253.4","499994435.9","378163403.4","345558126.7","515306545.2","521426836","565479177.5","464220771","392206503.2","670573161.4","387330250","396314312.2","264271958.8","582968384.9"
"Cytidine","41053476.39","37552611.72","29962402.18","34074866.16","28365129.68","35823396.83","28933914.25","31679451.17","20414237.94","6945894.629","51876578.89","19447929.87","33659488.59","28622110.26","30484455.71","31021965.32","34263034.89","30170909.82","29775235.49","23007208.27","10635484.02","15504605.73","22520449.63","4073344.138","17100636.47","11032334.79","3943116.104","3749641.127","14555916.95","18387183.28","18748503.64","15878724.65","18483922.81","14741877.2","14794772.02","5367920.68","21981193.96","40603452.29","1046.65582","1046.65582"
"Guanidinosuccinic acid","65942862.56","68863755.51","85414325.87","85268292.4","71055432.8","88811702.71","120878562.2","34736036.27","60245642.7","75618962.39","70825846.76","96209730.3","80276391.48","114741840.8","67144064.29","92655708.67","92061590.79","74250564.6","83306146.17","98487761.33","89542191.31","79006555.14","67351755.24","67760656.75","82389718.21","60456365.73","77926399.4","94632127.07","50809272.7","39178032.97","69599437.79","95254633.75","53068062.13","62347653.42","82747793.96","87696208","85709331.62","71925381.64","61310707.1","123964520.3"
"Deoxyuridine","203193779.4","188630076.6","173923369.9","184104303.5","169433649.9","188857837.4","181813067.4","196834174.1","205798758.3","187108863.3","180805216","195835216","200724983.9","188350270","226859899.9","200019971.2","186396027","228795443","191418357.3","180887702.6","214039602","189525874.7","193596737.4","199718663.8","182338374.5","200305234.2","186003830.3","193138064.5","198033515.6","185463245.9","185917957.9","191463990.9","218626345.5","200654947.7","197177081.3","203275138.7","184803607.8","7456106.463","200085296","237910387.2"
"Mannitol","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","4608845454","2545038810","1040309588","585794752.6","383043169.2","379418278.7","196795660.1","124994705","129695016.3","120074952.1","85473274.15","61752965.54","91876667.51","95070522.7","66143311.68","42925578.47","42943353.44","34758917.89","41905474.79","40318245.66","36760448.68","37332208.19","45269337.96","34860473.69","26633836.97","48499545.9","40074129.08","25986856.61","37820389.71","26421492.1","43390931.14","31800504.92","39631794.09","25497360.31","20636564.04"
"L-Threonine","225801580.2","653406355.5","298331328.7","446716046.7","279478077.2","196396277","314415869.3","117522767","215381243.7","251039409.7","229992893.9","287418006.3","228616674.2","178000343.7","173467676.9","35550564.29","41550260.28","171382560.2","107107947.8","76716655.9","39022859.4","29668639.34","43453574.27","8307568.123","10582438.03","46699767.16","51567163.3","44839942.19","31850999.31","6719202.697","41688503.45","50923627.39","35918249.68","30938769.83","10029703.44","61645578.82","53290462.57","48231964.87","43830503.75","198210897.9"
"L-Glutamic acid","77902511.19","55482346.97","115472043.5","130204322.4","113065527.3","106921709.3","80736609.09","79500236.32","79790675.63","88373567.6","75865660.9","138456496.3","58974391.73","75337920.43","69014376","79512310.93","117955601.5","53545063.01","80710223.97","55801102.23","98651710.78","94824332.83","96809305.61","163931248.6","90801241.02","47070198.15","183518931.8","173675040.3","115447215.8","66440508.47","104199942.6","60451525.78","78920479.86","93088359.43","60575937.94","202540306","75807350.31","46837673.97","37651685.48","75821321.6"
"Phenol","124583409.4","117917126.9","118530326.9","191778844.5","110374136.6","199609758.1","239533209.2","236410963.9","173912229.5","153654513.3","282766891.3","135334186.9","148777850.2","129300829.1","103031111.1","118337018","102468022.6","170380164.4","179002923.1","93915453.06","166438158.3","97553863.27","175879592.2","214140924.8","92787033.6","135355866.4","110010712.2","98642791.25","292060425.9","84203353.69","84279205.51","178761788.1","273080294.5","150125844.6","143358456.2","244154824.5","78911762.82","57264470.64","42645283.96","111110468.2"
"Maleic acid","71624089.03","62941470.59","59024526.71","52642098.67","65830418.93","60494947.27","58347183.23","58350262.78","63580032.14","58131344.92","60326602.34","58955585.36","63260364.35","60389940.56","56699971.88","63430945.11","61315712","49152299.2","61110417","55471829.52","52635039.83","46425137.22","35933353.89","43851079.63","40817588.77","41532455.69","40125736.29","43202511.63","40499637.78","34560589.37","37641119.36","38572908.63","38373937.1","33772522.31","40620824.35","35015594.49","44167130.98","28967789.8","24584004.24","25483564.62"
"Vanillylmandelic acid","142807516","29684647.76","195023542.6","11225299.89","79643162.48","14447875.91","127850316","15919635.03","34973692.44","44088932.56","289835307","262733122","23847953.97","116380938.4","72315325.94","104430402.2","138471633.4","162869608.8","810529738.2","713871216.1","25193498.04","20677289.53","17351263.45","15942308.27","12931950.24","13307113.46","11049092.25","10802301.97","10795311.02","10387594.07","30960422.67","28331515.89","9824863.02","9208989.462","51396102.52","21406733.48","8985448.856","8743984.883","8598699.607","5802005.292"
"Glutaric acid","36789425.02","35661395.03","140547701.2","35963132.49","36231697.96","157687165.9","62702205.68","92206149.62","35018086.93","34003414.47","74840726.78","69170842.32","75581237.84","32533982.93","81763763.7","67576572.4","29056004.68","45184668.16","73801864.89","21808253.81","77625814.05","103615931.9","94308091.07","99553214.04","102715665.8","57820020.44","136548118.1","120857055.4","144498527.5","151832334.1","125660096.9","150013669.5","71136979.55","54066827.8","133123384","122354902.3","100428889.7","60460493.2","39155902.42","8990754.234"
"Azelaic acid","100886141.3","59198549.31","18182822.1","59417222.45","201133654.3","67065252.77","55405015.89","16366586.9","62865019.67","15849277.49","18345256.81","53769302.97","51510585.58","63515435.6","160058875.9","57959838.92","90990003.66","14123698.92","14926715.32","14521970.1","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"L-Dopa","1664916.043","1176240.953","1429225.811","8349442.805","1956112.606","10144498.98","1593086.834","1124860.143","3400635.528","9357150.92","1464599.773","2412348.146","12470949.05","2083099.315","1454313.206","14852594.21","11898457.41","7582568.849","3670534.44","16619370.13","20544899.82","9115086.945","7496218.429","14583705.14","13813125.24","5189311.835","17060217.94","18164750.26","8895982.557","11139036.57","23142647.41","17599811.69","9915990.546","22289972.15","27462431.66","25472542.1","26723965.06","16245949.26","21965147.25","1046.65582"
"Phenylacetic acid","43065005.07","22305669.72","29055951.92","39292225.86","38679496.85","58566136.5","39054738.2","17704206.68","44463379.86","34701227.18","23016275.67","26651071.07","34881785.11","28022294.36","31259132.26","34573795.22","36574318.03","31591281.72","35642919.41","31836369.98","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","104526065.1"
"5-Hydroxyindoleacetic acid","21430323.41","20893766.36","21224753.24","28153206.75","36056650.96","15818277.54","21668407.8","24735784.8","31664827.86","17119966.26","20115344.46","30074582.75","35386313.21","27852077.63","47207712.62","35628857.57","25024911.22","23160388.3","24031412.83","20356841.32","36906768.63","23903853","22516307.03","20077900.93","28877155.51","20957509.02","17076765.08","26138866.18","20329115.32","18354273.73","29170700.99","22068838.89","27995279.6","27963232.38","26653769.14","51560853.2","17205299.87","19298904.98","17684798.04","41468125.8"
"Methyl jasmonate","43986655.68","19409237.35","16499266.25","16043715.74","19300605.06","30689488.08","19899828.8","25373354.32","27935595.18","37431738.69","51771967.57","37828372.19","35379796.42","35819353.7","31569694.68","45290986.02","13740081.44","33798600.33","43386071.28","46385641.44","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","70071065.39"
"(S)-1-Phenylethanol","49961908.37","75355148.23","95267922.44","89074440.27","88135303.5","37512123.19","84502244.46","81953838.99","87438245.93","26346963.45","50191725.08","154255794.1","65548450.68","154400759.3","90315375.1","96885464.94","66664886.49","10930944.25","43814100.07","42963088.36","31096365.14","46729400.58","28550854.33","34524256.49","38409704.55","25941500.79","21643618.68","24162068.09","23888759.37","42144617.45","28607918.9","52316030.52","27466912.1","33878545.75","30499355.61","51498242.02","103488122","872827599.5","1046.65582","1046.65582"
"Inosine","28396600.59","36986043.85","227666123.5","162000260.4","154035097.9","89508050.82","12990336.81","10485961.48","72343285.22","62081399.96","4596689.46","3564979.904","22925134.72","11451857.84","3577592.853","4899966.014","10246016.25","20926228.18","3516454.674","30409947.38","270063.8117","51920.12931","122649.1321","82881782.88","187161.6784","2507789.826","95376.37525","56307.99435","21593380.14","12905758.69","20419169.28","85020.74644","84952.70053","34030.81106","106946.0018","119264.8925","194851.5562","108786.6402","196419.6706","795461.5619"
"Sorbitol","8353357.776","8774058.649","10781029.47","8449579.127","8860051.912","9074859.562","10236327.43","22439740.06","12712366.27","13398553.89","22039683.88","9735981.291","9580062.078","13317077.74","11229530.09","29548974.88","12076722.89","26444469.39","10248693.71","11476073.19","11130640.46","9323046.656","13255512.92","16427315.76","7532731.674","12112078.99","6124118.054","2878323.82","7112772.531","4940785.993","8319228.629","2997270.235","3184208.609","4137778.151","7276835.96","2870630.506","8488791.218","20863924.11","1046.65582","1046.65582"
"L-Aspartic acid","7641198.139","10971180.95","10780052.86","7914097.876","11473207.5","9153677.188","12494158.86","13015010.33","16943817.18","7315828.849","9083411.382","14158898.54","5463134.768","5061026.528","5928605.957","5183549.896","7183759.63","3970919.81","6747857.239","6999279.276","9467114.741","1950691.956","6175918.203","1490447.063","1103939.98","6042391.466","1033832.213","4153776.727","3475422.224","4033669.469","3525509.366","3659226.433","3413049.325","3334644.286","3734154.156","3673415.878","514669.6735","2116587.329","2522554.151","1615726.012"
"Indole","401675474.7","348946446.2","384061446.7","377010130.7","375955481.5","348251643.3","405645759.6","356817005.1","357546833","372998280","334474811.4","365851913.9","345895911.2","314135888.4","368081902.7","379581407.3","351794801.2","385320767","362337986.2","352360153.9","342560334.6","305762448.9","339500598.5","277335144.2","320071919.1","267272318.4","245665245.7","306963998.8","273726450","222909455.2","288525313.4","257929231.2","233512693","227884125.7","251359107.8","301145616.5","236757536.1","270405132.6","239212437.7","346850559"
"Dodecanedioic acid","137473433.1","143360271.1","141787973.3","138764075.3","135244758.7","140142328.1","112749251.1","99348738.05","102604732","131103848.9","97096761.84","102310155.3","107535473.1","92874877.56","101923087.8","96379069.13","99036268.99","76322360.38","91819457","94353847.63","75498830.82","83659891.19","72761127.12","24875618.87","69956339.94","73504167.47","70646924.54","63260931.7","63338864","67593297","67264272.53","64209749.32","65721085.52","68907793.91","61006275.24","67421348.67","62829899.79","16004595.43","57712640.48","42963471.59"
"Ubiquinone-1","92250315.88","94396602.61","83563142.07","93599179.86","90854764.5","48835840.12","91499066.44","41171161.29","68420949.24","70198760.58","51662717.08","89932130.96","58498858.16","112855686.8","72007537.12","100074157","72753533.55","55700759.76","57860887.85","72362205.3","57441290.62","49642679.1","52100574.15","37656846.94","55010295.43","43345370.88","35596527.89","41328391.94","34859207.01","47930103.35","36916696.31","31283389.46","31222035.66","29889584.73","35354356.41","36833607.71","38478234.1","48277194.03","35253536.47","61262213.97"
"1-palmitoylglycerophosphocholine","23113018.55","13246626.99","8668927.766","6991299.81","37602318.67","60011473.84","13072896.24","12208119.87","76049404.86","10262069.81","6764495.062","40817129.55","12790701.58","10535024.46","10141226.2","68016519.81","8084857.25","10597231.1","12469777.66","5969707.173","4224264.038","32165491.69","2749945.801","3550589.924","1727017.647","7444210.33","3213074.224","2733482.284","24857594.05","1049870.285","4167009.726","4467478.266","3073205.044","7300621.991","4062719.399","1335863.591","12535503.04","5305524.782","2929439.794","12773768.92"
"Phthalic acid","240212813.4","65548661.35","261709672.2","65752000.06","65796322.56","194751142.8","576018505.6","273424804.9","196900633.4","75902916.87","565914220.3","316573860.7","99372007.77","444026861.8","387108604.3","127510318.8","864566196.4","387885771.7","672880093.8","506154146.4","68237999.45","472836920.9","185837719.9","561202060.7","135214208.3","484582719.1","191855443.6","136885351.6","159079760","139551743.3","242443420.5","38831550.46","36627322.1","35801405.21","349931140.7","142390419.5","128949814.9","93358957.45","420814152","341453339"
"Phloroglucinol","136740987.6","30762445.94","138434624.2","147437599.3","62480955.96","149312283.9","49285833.45","143418300.5","155080375.4","154420267.5","181111703.2","171745223.7","190602972.6","208644325.5","203955035","113966842.7","92595743.55","248178585","146612401","307678153.3","195024042.3","1767513572","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Skatole","117451344.3","103013781.7","112001013.9","109631016.4","113050581.6","110308664.3","131864229.5","93645180.79","95669949.18","110002116.9","95064150.04","112999500.5","101584835.9","86582938.52","122796571.3","125287607.8","112428948.4","115593484.5","111519404.8","102473512.9","113452633","89501742.59","113635335.8","76225648.69","113178998.4","80940766.09","71944970.54","102935397.1","79504796.4","64826501.89","105159926.1","86601048.52","67998503.35","80692771.7","86514534.48","120391356.3","74769538.17","97823483.16","72969473.77","172264784.1"
"3-Indoleacrylate","98743991.57","82003824.26","90274934.74","85350910.4","86711544.77","77159709.4","110021043.5","82462903.88","86472358.13","93441579.57","76877338.77","91732142.8","86940731.59","69897591.33","97463749.47","106187288.4","80096916.48","86355400.63","86964288.38","76222750.46","74766444.14","57571609.81","69794959.32","12960691.2","64741484.76","48387143.05","10106975.04","58489987.35","41921089.71","36515512.35","57446945.73","47876626.88","35320563.36","37624556.75","44248057.76","54090088.75","39186318.9","49118700.02","32720603.6","67880926.82"
"Sebacic acid","59721970.47","57533227.23","62201887.05","60363807.94","62731197.28","65945650.94","58727249.24","64071703.87","65019286.77","60443953.33","67681059.72","67646161.08","71170322.85","65242193.61","66794025.94","69142913.79","71395422.95","67098936.67","72833678.18","72914096.14","68575341.51","63903058.3","68683404.44","71903391.42","67809590.48","70653979.39","71811210.24","70444114.15","72517499.95","71597709.08","69563728.11","69597206.13","77283449.57","67580524.47","74884308.15","73268416.29","69619758.15","74738247.53","73939608.41","62659660.53"
"p-Hydroxyphenylacetic acid","10800618.54","16070619.92","15511707.03","16660260.14","13963486.1","13222472.85","16135945.96","14656808.41","13649034.7","12837261.95","20957990.36","49169171.17","42337640.87","37722750.06","66141788.69","57571205.67","80029280.45","40645946.5","47680102.48","50196110.51","29125258.9","95967100.88","112800133.8","168917267","308935170.4","383702805.1","216099270.9","224386376.4","4958566276","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","439676388.4","14975325.84"
"L-Arginine","54301171.77","68494943.77","77542592.98","110091657.8","45648557.87","49775024.65","30663462.25","57308177.09","40057188.4","66952253.85","23794125.11","45085889.35","31585099.44","24497307.88","30189498.5","21355888.72","23501007.18","24212918","27932469.88","27038996.02","122070021","129036462.1","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"3-Methylxanthine","1856969.028","1930581.042","1735078.418","2414768.642","1887847.997","2055864.524","2006728.827","1532938.455","1801126.359","4633278.353","9117109.199","5165752.317","1411701.876","1342832.142","1413202.804","1124913.909","3171751.347","1094385.903","1128881.399","3913218.073","9826091.228","3854696.971","3142074.213","8704982.525","5570572.491","4898971.251","7186704.594","3045287.701","2697882.613","3051436.761","4452441.688","4919149.746","8281565.909","4231257.779","3844311.209","3057045.225","2747758.96","3395007.598","4115073.764","38252505.59"
"(S)-Piperidine-2-carboxamide","1076233.039","1460831.291","8240545.066","9572276.477","8620241.695","10507438.08","1387412.773","1856868.055","2574771.552","3924094.658","2814996.987","6579786.845","2023792.66","1882386.195","1877879.142","2147478.7","12855476.98","1057892.104","3788284.222","2441754.757","18607657.44","3306496.662","7691076.454","15055448.83","7858727.184","3229681.402","7222117.805","7181732.24","12875089.71","1903262.43","4054073.85","1924203.805","5951847.313","13778640.66","3677569.605","7469581.213","7047872.783","1923930.98","8522640.697","7370351.243"
"Uridine","25755323.02","16119189.7","24598518.66","26287013.02","22584480.51","20812689.6","21052491.29","19761053.39","22899056.6","26835597.14","22362025.4","23436744.02","17795079.15","18585581.33","23535329.72","28401423.22","36938294.1","22021593.92","23744745.13","16681634.5","52413687.26","46368204.95","35338622.91","82264751.3","113764251","367833419.8","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","63064163.53"
"2-Hydroxy-3-(4-hydroxyphenyl)propenoic acid","7030820.385","6423021.723","5088046.329","4300846.11","1370957.561","1253353.743","4127770.622","7833087.262","1006027.391","1134884.062","5347209.636","4510461.122","1131889.448","8672145.678","5917236.669","1018465.883","2830477.03","3872555.206","1283142.698","1273754.876","5003471.432","3541897.714","3780592.142","4413711.183","4275776.459","3495972.656","1225867.763","3841762.078","6068078.575","3279164.758","2604831.703","4872029.075","5948659.299","1581748.177","1621477.621","5997001.28","3237477.107","6194139.852","1046.65582","1046.65582"
"2-Keto-6-acetamidocaproate","9142139.889","10209813.57","11791499.3","6604981.643","3816252.121","5820972.089","9243993.037","13662892.06","6199665.897","4532044.789","11506720.99","6781699.733","1833245.852","5109836.844","7927860.898","6936661.724","2224046.387","21704822.96","12547509.76","11010031.2","35650179.68","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Benzeneacetonitrile","25430770.35","18889665.88","28255331.43","25711171.87","20388277.82","22556301.2","41136185.66","18192924.5","27799363.91","20478829.15","20847922.18","21740192.14","24768891.37","21591059.73","21731711.52","37860171.71","27394195.85","20645663.2","39736000.6","20632666.6","100718801.7","23584809.58","23758180.25","82864236.32","86312578.07","66512884.7","70594247.33","23412687.42","18588984.94","44167422.33","70070586.27","67389320.05","82301747.88","64066621.87","15782534.47","63573295.18","14940910.75","43560142.04","11730425","48241185.6"
"Sulfolithocholylglycine","10442139.83","5103905.114","7897827.145","86416526.1","8593554.012","10809365.95","5540051.695","9391586.824","8382260.429","4827718.559","2210071.788","3957899.236","12605252.89","7121639.126","7053818.632","4158519.85","9015687.715","3296226.332","6673043.496","4848836.199","5117715.654","1275192.704","17879983.93","970643.0393","17744969.25","1776031.561","8708940.851","11211902.81","13835158.35","8407982.12","16577449.47","19056819.32","6908689.107","21465041.81","12290363.26","14202325.58","19314886.44","1092703.174","8573982.895","5478013.631"
"(R)-3-Ureidoisobutyrate","221552487.4","201345277.2","154628025.6","202150137.8","80916020.32","41734733.67","70511261.45","83922975.55","62234570.38","37925760.94","43571055.62","16265545.51","3624015.927","3941882.033","14273105.08","11759845.71","16704818.26","12110425.27","2234978.164","2576342.782","6189977.137","8354493.159","6742071.038","3113022.148","2680390.043","14337968.96","4411932.56","1676287.89","6927673.791","2860717.443","4297197.168","9783191.775","1969406.445","14326181.5","16934999.69","19848324.59","10082439.34","9731027.667","1046.65582","1046.65582"
"3-Methoxytyramine","48765364.05","61833400.68","61092930.13","38260714.76","53952565.23","27761415.06","40745723.45","56209772.88","26598766.71","18621531.96","29313813","51997980.32","29073183.54","41262626.36","50631804.14","41575517.89","46355100.9","61959436.79","39540561.54","25263473.08","28608356.69","22138862.82","24206420.48","47901823.99","29637138.44","24293272.32","19041743.39","18991722.71","36980085.41","50006159.73","44524835.56","55402823.78","41034154.99","51301331.05","21830287.87","29342938.68","18209072.18","32593552.76","27316294.04","74083711.21"
"3-Dehydro-2-deoxyecdysone","22350041.35","18534127.72","21158166.36","19343822.06","11743668.8","14366211.64","24567673.59","10643950.84","24752311.95","15715449.73","14975914.47","3273010.116","35915830.36","23771253.71","7610053.058","1589701.358","18667981.65","15291809.14","43502169.07","17780090.31","11377264.44","16018647.88","8014399.332","5521546.751","112858265.3","7125995.065","10065469.99","4572366.985","9668447.284","2812868.382","9656910.108","7328590.192","1799882.084","3979882.806","4982325.777","5159005.012","6164122.223","4266112.042","2150245.131","1357401.591"
"N-Alpha-acetyllysine","6535589967","5669238729","6024577855","5846912059","6243000154","5718501226","6852329453","5243805971","5490935330","6049987343","5279011921","6407649755","5760772407","4726458799","6740958635","7040444309","5939194621","6252504971","6187537418","5641771053","5843079925","5230324740","5627095604","4089660467","5554999649","4037008419","3368934925","5085176111","3760680668","3009877879","5044379130","4152847730","3167386186","3428856123","3852353868","5194903865","3405976078","4125838210","2994005866","5220592746"
"L-Leucine","4149631804","3259478379","3716885532","4634445334","3231227313","3580832790","3882998426","2424327852","2861093482","3468448747","2752581213","4325892442","3354209947","2862248696","2753617093","3728174117","4097689111","3325788171","3345616811","3802693345","5090609333","3867506461","4051987088","3690912364","4968087832","3740865076","4735864868","6018301254","3617468461","3442720120","4372820667","4588576040","3886291787","4302329222","4479021788","5938706800","4611110314","3573812278","3149690345","4391920275"
"Betaine","4366227175","3873948997","3339100507","4356768497","2520247400","3338403607","2741765227","2611350855","3475161301","2702878129","4323575183","3597660117","3711105056","2004401753","2824819515","3998509060","4142135780","3190242870","3641873107","2542956779","3345479278","3673246055","3276977606","3021193611","3882324345","3127176878","4558479453","3219320628","6774471407","3911073380","3942827265","4472570456","3808334489","4265715341","4335281591","4592812356","4831250550","4526966813","4026682306","4137463248"
"L-Valine","735627976.7","668909087.5","735660235.1","826584951.2","1734843940","851443576.9","761066443.3","517256277.2","582334034.8","771576096.6","126005078.1","1033607319","897480811.7","823626058.7","790470349.4","1294434959","1398656779","1149650919","1184485890","1484506995","1019306382","433264376.2","321862959.9","451056947.1","441533183.4","335886775.4","268539254.9","346957111.7","53245779.66","326462901.7","292792732.8","282635450.8","206471301.6","173237046.8","387773452.3","316510185.1","369785357.9","277496016","143332840.2","165761694.6"
"Riboflavin","281037963.8","307935070.5","333282554.3","301760008.8","497299120.7","438266249.5","316557522.1","219806022","244557206.1","193021084.2","208262644.6","404344106.8","360166600.9","246712263.1","316995783.7","351417240.5","355543363.1","222035169","222957477.7","218788270.7","313057536.4","246138485.6","238255086.6","182345659","211650984.2","200985362.7","223740289.1","206867765.7","197773356.9","226717149.2","240610325.1","212519305.2","125821029.3","186610081.4","204410035","197572598.8","190213490.4","189168037.2","182628976.6","181281855.4"
"N,N-Dimethyl-1,4-phenylenediamine","15084317.48","11998287.28","15716500.89","14432141.82","14060665.5","11406162.72","15919530.34","17537818.73","18087337.81","11325994.81","15368810.67","15715293.3","14293640.58","16759284.17","18007701.33","15612965.91","11948977.15","14710518.55","13326454.8","11356590.15","29512887.89","11583416.83","14642483.04","21906630.2","11971779.27","11314796.11","25267549.5","10570358.73","10364327.57","9335670.68","14431796.25","10073278.01","11265381.78","11378543.12","11154126.37","14584789.74","8416036.106","8082937.656","9016251.46","14733956.09"
