"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"5-Hydroxyindolepyruvate","9682650.577","21184269.86","25544125.29","33865847.91","12474270.18","14686222.01","19936776.43","14915035.97","16404227.04","38295851.46","22714376.05","16259639.17","21925306.38","16513663.39","15152395.13","21647168.72","17924420.48","12086259.38","25853430.79","18069385.65","18197254.64","17893999.63","27773562.08","35216776.76","20125253.22","13796858.77","19885629.2","17054795.75","19048477.68","14546900.95","41571658.38","18862553.57","14840133.6","12846136.06","19184617.2","20251962.29","42990735.39","15093776.68","18689495.05","8223287.327"
"Withaferin A","15611440.54","25144312.12","26165345.07","26509118.48","33837697.2","20218315.56","18385770.33","13914308.27","22737052.69","18366295.35","13573541.29","26414107.18","26073114.63","33412318.95","15735836.29","20578778.3","20334271.89","12864489.77","24475272.09","18657558.99","14228840.27","32795624.07","9936339.548","27651810.37","58679744.66","19232052.36","41878961.84","90592546.38","74324525.69","170141540.9","118096852.8","87089227.33","69391955.04","150505553.2","85797311.76","167673538.8","79931285.4","10268414.01","87848440.89","194440066.9"
"4-Hydroxy-2-oxoglutaric acid","12827124.54","13984813.68","13438112.93","15457799.75","12099477.95","9590446.206","15613691.14","16507272.27","17607116.83","12876024.7","15039176.67","14608647.25","11499527.73","14611305.17","14320655.22","14208367.8","13109094.93","16103979.75","14557644.94","12996896.44","14885140.98","11117218.08","13227205.34","13670578.15","9534315.827","11580693.2","9166886.044","6959398.262","11389738.34","7034905.104","6936506.431","12871961.68","14559865.47","11611828.25","13123123.23","9298698.782","7682612.337","6572893.782","4732765.888","8541986.866"
"3-(3,4-Dihydroxyphenyl)pyruvate","63195968.47","28283170.36","30693186.9","98974902.99","121573230.6","47656856.31","66659152.92","45270639.32","43294033.55","50748236.16","81619201.97","20864182.53","62687994.52","90517605.46","17162955.21","117337567.4","78992077.07","49048940.69","80153017.1","46287162.57","56874608.83","109088544.8","263600243.7","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Isochorismate","3471018.906","20793653.38","4527908.144","4739837.889","3925651.188","17253521.91","3617326.606","3721138.061","5118572.025","11663284.38","3086997.825","14007180.31","27589465.73","11578384.59","2819816.717","17316176.8","2861458.225","9691892.198","14283046.16","32547859.59","10887938.83","18110655.04","9119166.854","19092888.41","12848450.24","10856164.05","21253081.18","17784060.96","12700340.57","15500440.21","19249908.3","11657937.89","18266319.93","16328115.33","19575051.94","13707558.01","11060811.28","11064738.64","14760872.42","8871764.948"
"Suberic acid","48827712.97","58386760.17","253799327.4","199910163.6","191265586.1","130618218.6","125806055.3","55323180.66","81349857.93","15536759.6","11435435.48","49072161.83","50276674.66","41410685.93","10322949.58","6987360.073","5987717.51","33947736.79","4883128.467","19395961.91","12271171.36","16621136.24","2592859.587","12647942.96","12839285.5","2477112.557","2646971.204","15568815.78","10451096.69","15135474.97","14288066.04","13557718.11","14382654.91","15096828.47","11368330.21","13783992.29","11550831.37","16370014.93","16298967.29","19733020.66"
"p-Octopamine","21924166.77","13563424.95","17003103.15","20779980.53","15460852.05","16739182.33","19985697.82","12080950.36","15754715.76","16795916.88","13665059.01","36141698.42","26852506.19","14203612.87","14133904.76","19555238.44","19704874.78","14094631.04","16177380.55","19539275.28","17520490.81","12636484.98","14645531.87","10571832.55","15946113.76","13184298.99","13325507.15","13002636.51","10053326.76","8497422.527","9797145.124","11033849.49","8815866.71","10206729.21","10560907.32","14096526.02","11459691.37","7890637.323","5543239.908","5289569.044"
"Metoprolol","20813789.42","18127945.89","16279031.54","16076674.04","17645799.72","22428140.47","23200201.37","25132274.45","20764873.19","22824870.12","19635291.32","22030406.75","24121496.68","17329473.3","21446912.39","25072237.43","21640057.42","27305378.06","17510958.65","22157250.94","19251368.65","16468485.83","21630474.67","2586285.868","18626246.7","20518982.51","20595756.31","17506970.68","15790163.43","17405287.28","17065282.76","17527476.77","2269803.387","18382870.27","20054720.19","18929998.3","20743986.98","648808.2726","14187416.11","24640492.24"
"Sulfate","144745508.7","29404614.64","51503910.77","73377223.08","22609615.62","42395883.63","14694053.43","15427230.28","106835122.5","62560671.59","33661641.45","47294609.06","39149020.71","27343258.5","30076099.16","39332475.27","76237290.52","22261952.15","38872132.42","24542103.83","13734590.19","15780719.61","18590291.5","19530656.15","6047450.289","7729522.942","12020464.69","6188954.168","11490731.31","15664190.79","13631450.45","6619220.818","14497553.29","8787058.136","10595744.73","13358060.14","17763190.34","4974718.645","12168011.34","10028663.08"
"Hydroxyphenyllactic acid","25830067.73","24533421.64","107719521.6","125777862.3","25535239.06","124348132.1","22130178.8","116070336.9","259683228.6","139339229","103810783.2","166799232.7","260725159.6","167743904.6","385610595.3","179312661.9","30161065.49","186706560.7","125169812.5","25938944.28","52267192.69","84521558.56","169008285","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
