"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Benzoate"," 0.02051562","-0.39252549","-0.07813670","-0.38344151","-0.21271707","-0.08905639"," 0.15982632","-0.42841821","-0.01167700","-0.08944905","-0.20596738","-0.37561213","-0.14209943","-0.18805133","-0.13990974","-0.04996962","-0.03251954","-0.19820816","-0.16160864","-0.13749214"," 0.01539002"," 0.04719070"," 0.04678953","-0.09638986"," 0.20322042"," 0.11878085"," 0.19491985"," 0.16097739"," 0.01056844"," 0.05177763"," 0.17868897"," 0.35601049"," 0.38402418"," 0.14612224"," 0.12591089"," 0.41117787"," 0.10820614"," 0.18070012","-0.07913007"," 0.57158179"
"Cytidine"," 0.28633919"," 0.26302330"," 0.07702331"," 0.13106996"," 0.06318155"," 0.22384722"," 0.07444216"," 0.18454370","-0.07243885","-0.26576574"," 0.43358446","-0.08923886"," 0.15270991"," 0.08997652"," 0.15209358"," 0.10063714"," 0.16221255"," 0.05818095"," 0.01001160","-0.01716812","-0.22410843","-0.10808136"," 0.00936807","-0.30622833","-0.08021877","-0.14991865","-0.29562917","-0.31510968","-0.09384428"," 0.04587321","-0.03223009","-0.02142997"," 0.01697792","-0.09040226","-0.04446690","-0.28487990"," 0.11528320"," 0.61359301","-0.38640699","-0.38640615"
"Guanidinosuccinic acid","-0.142073389","-0.098025903","-0.046034193","-0.056492603","-0.123848423"," 0.030546297"," 0.195226101","-0.323580531","-0.203565222","-0.049028361","-0.126542081"," 0.013478028","-0.060149006"," 0.189011812","-0.099953723"," 0.007304742"," 0.015046642","-0.136666382","-0.130680557"," 0.057595984","-0.027884120","-0.007220844","-0.100920693","-0.040832529"," 0.015509462","-0.056057334"," 0.142959271"," 0.145158055","-0.165764688","-0.205769384","-0.048544708"," 0.300712473","-0.111106778","-0.073658020"," 0.190119634"," 0.088880514"," 0.207555206"," 0.133751925"," 0.025123860"," 0.676419469"
"Deoxyuridine","-0.0304128686","-0.0420195945","-0.1402328948","-0.1220680457","-0.1410137873","-0.0497339147","-0.1049022173"," 0.0069765084","-0.0586493553","-0.0440360110","-0.1114286606","-0.0883097460","-0.0501150557","-0.0638623411"," 0.0859473446","-0.0629313423","-0.0896740242","-0.0232420873","-0.1645407103","-0.1036621224","-0.0412457899","-0.0179406233","-0.0179452330"," 0.0730448850","-0.0415420304"," 0.1351495140"," 0.1332894493"," 0.0286227783"," 0.0813208864"," 0.1465291671"," 0.0009275449"," 0.1535150265"," 0.2170989508"," 0.0896761167"," 0.1803635671"," 0.0581393076"," 0.1220852247","-0.5705874646"," 0.2379971135"," 0.4294125354"
"Mannitol","-0.06037974","-0.06037972","-0.06037975","-0.06037975","-0.06037974"," 0.93962025"," 0.45593635"," 0.17842797"," 0.05437699"," 0.02437268"," 0.01600635","-0.02207742","-0.03488035","-0.03288535","-0.03336362","-0.04328776","-0.04778579","-0.04313567","-0.04425797","-0.04685907","-0.05203570","-0.05056080","-0.05259938","-0.04987092","-0.05118478","-0.05034268","-0.04943051","-0.04941292","-0.05145520","-0.05240450","-0.04871002","-0.04864746","-0.05315637","-0.05070709","-0.05260179","-0.04992481","-0.05113539","-0.04794805","-0.05243811","-0.05374239"
"L-Threonine"," 0.12472122"," 0.80680132"," 0.20676789"," 0.40150263"," 0.19020308"," 0.09289669"," 0.24209414","-0.01727596"," 0.08993846"," 0.18402527"," 0.11890095"," 0.18680965"," 0.12126700"," 0.05852469"," 0.06764584","-0.15728222","-0.14766479"," 0.01928716","-0.07938849","-0.09687100","-0.15392438","-0.15957409","-0.13883633","-0.19269615","-0.19036999","-0.11752517","-0.10080122","-0.13083011","-0.14991718","-0.19319868","-0.13669243","-0.10232064","-0.13702255","-0.15161860","-0.18657091","-0.10270997","-0.09821321","-0.10076508","-0.11117601"," 0.24185916"
"L-Glutamic acid","-0.121792587","-0.214051322"," 0.026435224"," 0.082101868"," 0.028205276"," 0.036729990","-0.119065525","-0.076336914","-0.136157423","-0.046548764","-0.144319965"," 0.122363585","-0.218391522","-0.128384934","-0.138510952","-0.130007562"," 0.056309747","-0.263650570","-0.180569769","-0.232653811","-0.055157321"," 0.002068924"," 0.001800257"," 0.445891025","-0.020166275","-0.199632106"," 0.736349430"," 0.467917883"," 0.181943057","-0.038740034"," 0.079522758","-0.088930130"," 0.007908677"," 0.050638192","-0.085858775"," 0.621603466"," 0.010192862","-0.157600337","-0.225323731"," 0.063868107"
"Phenol","-0.135332245","-0.135802024","-0.177678380"," 0.041797303","-0.194737943"," 0.141028082"," 0.225408619"," 0.316022805","-0.006529313","-0.007671599"," 0.358477639","-0.129947717","-0.065895811","-0.112849033","-0.180385451","-0.172681676","-0.216852972","-0.039914652","-0.065837064","-0.243994501","-0.033923884","-0.194365491"," 0.078104776"," 0.306967510","-0.212642324"," 0.039601851","-0.035327086","-0.168954975"," 0.643402112","-0.147922747","-0.226729919"," 0.285153254"," 0.661554921"," 0.062556924"," 0.123349004"," 0.388843553","-0.184242060","-0.263715080","-0.338445079"," 0.020110672"
"Maleic acid"," 0.51722259"," 0.36839555"," 0.06176128","-0.13647862"," 0.28967433"," 0.26715114"," 0.09040328"," 0.30400478"," 0.17519619"," 0.23099908"," 0.13267552"," 0.04070395"," 0.23692910"," 0.22278516"," 0.21660367"," 0.20660904"," 0.18200961","-0.26774497","-0.11172702"," 0.02217156","-0.12974455","-0.07713828","-0.42982792","-0.02479678","-0.25626888"," 0.02228196"," 0.08104874","-0.09756555","-0.11098585","-0.11364038","-0.29080934"," 0.01579918","-0.07006923","-0.34835100"," 0.10703632","-0.37584736"," 0.22789703","-0.28675305","-0.48277741","-0.40883287"
"Vanillylmandelic acid"," 0.07717442","-0.08434013"," 0.13696732","-0.11465572","-0.01811860","-0.10796760"," 0.05031418","-0.10436074","-0.08216957","-0.06201267"," 0.27531328"," 0.22523049","-0.09595682"," 0.04153243","-0.01678592"," 0.01523116"," 0.06630231"," 0.08246497"," 0.82436808"," 0.88322610","-0.09573313","-0.09690901","-0.10276735","-0.10197581","-0.10925519","-0.10450637","-0.10723281","-0.11156209","-0.11054335","-0.10813607","-0.07801616","-0.07215113","-0.11077051","-0.11337876","-0.02470085","-0.09392375","-0.11159591","-0.11068835","-0.11113650","-0.11677390"
"Glutaric acid","-0.271587290","-0.267442667"," 0.198415164","-0.288553642","-0.280139347"," 0.351687174","-0.153162677"," 0.045217290","-0.290816130","-0.275228933","-0.098040164","-0.135727511","-0.089779502","-0.289947313","-0.019842515","-0.134539411","-0.312759615","-0.252749352","-0.157983480","-0.347236039","-0.097516184"," 0.104544598"," 0.043900377"," 0.134462878"," 0.098288824","-0.081123729"," 0.488746658"," 0.235772117"," 0.416974719"," 0.615976177"," 0.258255444"," 0.579652388"," 0.012512724","-0.127148780"," 0.468562890"," 0.240531742"," 0.233801567","-0.006476043","-0.165478584","-0.384023823"
"Azelaic acid"," 0.36613467"," 0.16869110","-0.06422272"," 0.13060300"," 0.84756468"," 0.20592174"," 0.12437303","-0.05991497"," 0.15085037","-0.06607659","-0.06148303"," 0.10528844"," 0.10635401"," 0.17916379"," 0.73445091"," 0.13299730"," 0.30456538","-0.08715660","-0.09010227","-0.07933293","-0.15243532","-0.15243444","-0.15243456","-0.15243387","-0.15243446","-0.15243330","-0.15243277","-0.15243409","-0.15243374","-0.15243262","-0.15243413","-0.15243279","-0.15243317","-0.15243374","-0.15243275","-0.15243412","-0.15243284","-0.15243225","-0.15243231","-0.15243204"
"L-Dopa","-0.289263777","-0.300199870","-0.297419869","-0.132473803","-0.283399788","-0.059979911","-0.292270683","-0.300307933","-0.249843744","-0.076149383","-0.295775262","-0.274170663","-0.017545939","-0.277623364","-0.291773186"," 0.035142810","-0.032082790","-0.156206918","-0.255253858"," 0.087987159"," 0.161760310","-0.074439595","-0.124687218"," 0.120147680"," 0.057432477","-0.156980069"," 0.286696403"," 0.212095614","-0.050529574"," 0.080350555"," 0.356566863"," 0.305123761"," 0.008704012"," 0.372927828"," 0.667793056"," 0.426962319"," 0.628726712"," 0.298125117"," 0.514041466","-0.332206944"
