"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Pterin","-0.139578557","-0.035695962","-0.295514934","-0.078826574","-0.081305858","-0.001307928","-0.432186607","-0.182519542","-0.417511591","-0.095931911","-0.378879535","-0.346763808","-0.059147674","-0.341838166"," 0.041631437","-0.323305318","-0.351962986","-0.359185576","-0.242917355","-0.150970165","-0.242513463","-0.048932194"," 0.018344199"," 0.301773231"," 0.401708423"," 0.281963442"," 0.306820691"," 0.182114050"," 0.177973387"," 0.359280624"," 0.567813393"," 0.483992901"," 0.329590873"," 0.242781961"," 0.358042935"," 0.064283216"," 0.398672880","-0.288600398"," 0.373186229"," 0.005422231"
"Pregnanediol"," 0.0467733817","-0.0318418881"," 0.0537798537","-0.0828207308"," 0.0553760778"," 0.0329960407","-0.0348044135"," 0.0702673986","-0.0946452750"," 0.0004632339","-0.0603762851","-0.0576423977","-0.0785916051","-0.0867071985","-0.0875557185"," 0.0050613678"," 0.0957753639","-0.0449353113","-0.1063667982","-0.0525492013","-0.0591805337"," 0.0545780292"," 0.0813439985"," 0.1662964905"," 0.1643771619"," 0.0089052763","-0.0602089397"," 0.0095914805"," 0.0338740942","-0.0601420827","-0.0898803180","-0.1066234226","-0.0911486833","-0.0912243064","-0.0987384629","-0.0559893131","-0.0768551437","-0.0224116878"," 0.8758902338","-0.1241097662"
"3-Dehydroshikimate"," 0.413926347"," 0.499689368"," 0.048598958","-0.122335138","-0.123819221"," 0.443255915","-0.126304592"," 0.676997941"," 0.327586299","-0.137524948"," 0.054159066"," 0.230453715"," 0.284696550"," 0.457859427","-0.126205304","-0.233271066"," 0.048518170","-0.003316220","-0.323002059","-0.009071572","-0.281685962","-0.233165730","-0.267414446","-0.151533540","-0.156168876","-0.094391355","-0.075430786","-0.166851219","-0.031035828"," 0.168394244","-0.037026643","-0.075419314","-0.063728422","-0.061410681","-0.052502209","-0.048526746","-0.017932374","-0.141261708","-0.202559857","-0.291240184"
"Niacinamide"," 0.073358371"," 0.218363524"," 0.185139098"," 0.064662386"," 0.618719943"," 0.113266487","-0.044240367","-0.233595112"," 0.023274254","-0.035998034"," 0.269675797","-0.055156740","-0.151790638"," 0.135581011","-0.117964910"," 0.006984358","-0.129280088","-0.027893202","-0.085237060","-0.210607020","-0.128010614","-0.117206607","-0.177506821","-0.058789979","-0.024442785","-0.125678978"," 0.481290188","-0.184618990"," 0.003302855","-0.231875046","-0.006238342","-0.051572543","-0.071318160","-0.088027492","-0.245722249","-0.005547895","-0.246029619"," 0.048368327","-0.141607689"," 0.753970381"
"Cortisone","-0.200598879"," 0.072046376"," 0.057500490"," 0.030458296"," 0.356075058","-0.054779615"," 0.175012566","-0.040773686","-0.089499881","-0.029374750"," 0.001811407"," 0.123569902"," 0.141028410"," 0.573165474"," 0.198840347"," 0.244755437"," 0.061440052"," 0.097825997"," 0.102484415"," 0.048279543","-0.420854344","-0.017865828","-0.426834526","-0.023711471","-0.025831592","-0.325121333","-0.220236683"," 0.112370421","-0.169859010"," 0.459900831"," 0.001651541","-0.111681120","-0.276971415"," 0.087323976","-0.310127170","-0.083479731","-0.187467792"," 0.075973956","-0.149776597"," 0.143330927"
"1-Hydroxy-2-naphthoate"," 0.33257119"," 0.43330030"," 0.27192548"," 0.33181291","-0.05496369"," 0.12860709"," 0.36345454"," 0.26840341"," 0.84572465"," 0.06705495","-0.03037891"," 0.05460009","-0.02920419","-0.11997311","-0.03758826","-0.09985476","-0.08673784","-0.06164634"," 0.10918499","-0.13370846"," 0.14213089","-0.15427530","-0.15427535","-0.15427509","-0.15427531","-0.15427487","-0.15427468","-0.15427517","-0.15427504","-0.15427462","-0.15427519","-0.15427468","-0.15427483","-0.15427504","-0.15427467","-0.15427519","-0.15427470","-0.15427448","-0.15427450"," 0.08223378"
"Anserine"," 0.283084709"," 0.352490195"," 0.211910184"," 0.281592343"," 0.253374763","-0.140572237","-0.116313743","-0.135401989","-0.163401362","-0.175309961","-0.185741430","-0.138819538","-0.125603209","-0.094210107","-0.106543892","-0.163435945"," 0.013168270","-0.133611410","-0.185810832","-0.182213786"," 0.725333736"," 0.403975925"," 0.248417302","-0.223835881","-0.060036426","-0.222132056"," 0.130478094","-0.260631731","-0.257169362"," 0.257359289"," 0.066480273"," 0.072234299"," 0.282166516","-0.274666264","-0.004930684","-0.053679379","-0.075152189","-0.257774094"," 0.143423103"," 0.011508508"
"Butyric acid"," 6.689747e-02"," 5.508574e-02","-3.380648e-02","-1.799666e-01","-4.946965e-02","-2.143199e-03","-1.878797e-01","-1.855637e-01"," 1.076000e-02"," 1.975981e-01"," 7.777135e-03","-1.653389e-01"," 1.778723e-01"," 2.267195e-01"," 4.075493e-01"," 1.482355e-01"," 3.765609e-01"," 2.162853e-01"," 3.198537e-01"," 7.448364e-01","-1.101952e-01","-2.020811e-01","-8.007278e-02","-2.066440e-01","-2.218390e-01","-2.081022e-01"," 7.294384e-05","-1.218406e-01","-1.251772e-01","-4.888329e-02","-7.413222e-02","-1.191168e-01"," 1.152418e-01","-1.340683e-01","-2.119658e-01","-1.192257e-01","-2.214469e-02","-2.029593e-01"," 1.964339e-01","-2.551636e-01"
"Cadaverine"," 0.011648185"," 0.213776852","-0.018226608","-0.057065183"," 0.071149506","-0.036362244","-0.039605511"," 0.065341904","-0.099405348","-0.130620678","-0.116345735"," 0.105583658"," 0.049638034","-0.033115549"," 0.613617765"," 0.179623844"," 0.041050682"," 0.213139199"," 0.001577198"," 0.005869716","-0.100792294","-0.018958387","-0.133741544"," 0.007677999","-0.092327794","-0.081425865"," 0.459389872","-0.162072298","-0.083434201","-0.021213172","-0.095621589"," 0.037117630","-0.095602401","-0.076815182","-0.061863878","-0.103952134","-0.059534752","-0.014929740"," 0.043212278","-0.386382235"
"Fisetin"," 0.029752470"," 0.117944166"," 0.004122265","-0.007407100"," 0.234666883"," 0.007412960"," 0.009852964","-0.032475420","-0.083630028","-0.125317838","-0.127681416"," 0.083974647","-0.025814487"," 0.115773822","-0.122976479"," 0.066787081","-0.177651466","-0.053305020","-0.029530033","-0.081409494","-0.354717934"," 0.130633429","-0.301807256","-0.219724246","-0.195423248","-0.226998977","-0.204166526"," 0.256240329","-0.193379383"," 0.513841654"," 0.129831837","-0.128581396"," 0.025206758","-0.097276725"," 0.053744394"," 0.100305538","-0.014332911"," 0.273676587"," 0.004557530"," 0.645282066"
"N-Formyl-L-methionine","-0.109674598","-0.042264722"," 0.015300027","-0.079645004","-0.034540207","-0.089568668","-0.033105957","-0.130349210","-0.095255115"," 0.013768031"," 0.020454508","-0.116986905","-0.061343686","-0.127979606"," 0.009045462","-0.019696155","-0.111895307","-0.045036439"," 0.014246868","-0.035594498","-0.004015773","-0.009276944","-0.088540791"," 0.042342575"," 0.025323853","-0.047840976"," 0.034554057","-0.077852305","-0.070004578"," 0.060278502"," 0.022380115"," 0.020939892","-0.088244163","-0.091757870"," 0.036521175"," 0.062533893","-0.027300309"," 0.170276420"," 0.220153618"," 0.869650790"
"Ergocalciferol","-0.02306012"," 0.13470599","-0.02278144"," 0.22266215"," 0.21442264","-0.06893231"," 0.34292581"," 0.03211879"," 0.18499533","-0.17901345","-0.08819294"," 0.25891994"," 0.22033655"," 0.56425439"," 0.07608126","-0.08992424","-0.05116546"," 0.03820072","-0.13984758","-0.03630033","-0.39681203"," 0.31726536","-0.40172371"," 0.04297141","-0.01682962","-0.31209682","-0.06333864"," 0.11756590","-0.07996216"," 0.38447462","-0.14278017","-0.13632364","-0.22190061","-0.15887730","-0.15890038","-0.03572248","-0.10405222"," 0.18724781"," 0.02513459","-0.43574561"
"S-Carboxymethyl-L-cysteine"," 0.01852757"," 0.34738255"," 0.07136017","-0.01862181"," 0.71530964"," 0.15767930","-0.13758291"," 0.17637623"," 0.26072427"," 0.08404882"," 0.03159407"," 0.15832616"," 0.13326851"," 0.32369146"," 0.29730083"," 0.47263979"," 0.13882625"," 0.03530892"," 0.27127732"," 0.44517189","-0.21460486","-0.14166086","-0.18413482","-0.12045237","-0.19969711","-0.22075184","-0.20467975","-0.20349699","-0.25262679","-0.21522648","-0.25188273","-0.25201250","-0.10377507","-0.27278971","-0.24700271","-0.25180190","-0.13429917","-0.07380556","-0.15321742","-0.28469036"
"Dethiobiotin","-0.20727470"," 0.25137957"," 0.10932570"," 0.10230700"," 0.09509243"," 0.02082208"," 0.06969132"," 0.14723673"," 0.04949858","-0.01745075","-0.03815080"," 0.08699118"," 0.05495715"," 0.28091160"," 0.10129752"," 0.09400598"," 0.06611280"," 0.10657127"," 0.10183232"," 0.08567652","-0.23344859","-0.24327569","-0.24109751"," 0.71004274"," 0.26986271","-0.21249756","-0.18421983","-0.25199647","-0.15510965"," 0.58051833","-0.24205968","-0.21905486","-0.21699112","-0.22552329","-0.22278946","-0.28995726"," 0.08235610"," 0.08322047","-0.13400188","-0.21481097"
"S-Hexyl-glutathione","-0.071641029"," 0.087721342","-0.144038453","-0.036619589","-0.143644884","-0.139331541","-0.139106554","-0.136182224","-0.111545597","-0.082196388","-0.139172039","-0.078807503","-0.128923075","-0.046775643","-0.072525473","-0.115561414","-0.075628249","-0.053260295","-0.057867694","-0.040214157"," 0.173566450"," 0.263686986","-0.102699178"," 0.855961547"," 0.171664065","-0.101595336","-0.095435677"," 0.232518907"," 0.149902348"," 0.005894627"," 0.521800126","-0.092180121"," 0.064969456","-0.095102387","-0.096607137","-0.105108542"," 0.032489483","-0.036920488"," 0.015976822","-0.037461494"
"Spermine"," 0.09617863"," 0.07468330"," 0.16208555"," 0.27746795"," 0.32838303"," 0.27142417"," 0.18903860","-0.49374162"," 0.05977354"," 0.33201177","-0.57907632","-0.17906716","-0.25579432","-0.23203550","-0.27209243","-0.36595636","-0.38051026","-0.44622495","-0.51745753","-0.47525494"," 0.07012267"," 0.10108328"," 0.22395455"," 0.12838219"," 0.11522128"," 0.23049395"," 0.26859358"," 0.05370784"," 0.09206942"," 0.18933833"," 0.08973066"," 0.19868715"," 0.42092368","-0.16018576"," 0.10111805"," 0.14365192"," 0.03946105"," 0.19398665"," 0.04061125","-0.13478690"
"4-Guanidinobutanoic acid"," 0.419418522"," 0.316109543"," 0.438591772"," 0.150709697"," 0.399976080"," 0.363843243"," 0.418862711"," 0.304597398"," 0.135274929"," 0.291294178"," 0.052705506"," 0.304149327"," 0.241483477"," 0.049227089"," 0.502025973"," 0.493481957"," 0.091907035"," 0.242440623","-0.022189280"," 0.155810077","-0.132879630","-0.004371047","-0.124111176","-0.174557469","-0.115945505","-0.235527292","-0.185272999","-0.253656743","-0.371383106","-0.422694532","-0.336409404","-0.197891325","-0.497974027","-0.409015118","-0.258875548","-0.317378053","-0.483134074","-0.230523218","-0.477801429","-0.120318161"
"Ribitol","-0.004906075"," 0.572612412"," 0.222000700"," 0.555398197"," 0.400828000"," 0.036958055","-0.140362115"," 0.597056216","-0.073888344"," 0.095290368"," 0.049636902"," 0.348681786"," 0.100312449","-0.101511453"," 0.346474213"," 0.088659238"," 0.023505551"," 0.132566524"," 0.408238333"," 0.236895399","-0.402943784","-0.181631412","-0.050238792","-0.123344748","-0.122325421","-0.004573234","-0.054764352","-0.180136949","-0.167454557","-0.204986877","-0.102641167","-0.128284970","-0.321046343","-0.350442494","-0.020215805","-0.283846185","-0.339982838","-0.257750512","-0.330465707","-0.267370206"
"Dodecanoic acid"," 0.029585235"," 0.025007270","-0.044201804","-0.368813251","-0.027505611"," 0.049538865","-0.011261531"," 0.076876106","-0.046796751"," 0.028099774"," 0.022869666","-0.008106962"," 0.002489421"," 0.062882078","-0.030149422"," 0.066242716"," 0.018019283","-0.112202381","-0.135356871","-0.034659756","-0.197900954","-0.504354878","-0.506472255"," 0.117697397","-0.505281325"," 0.493527745"," 0.147571096"," 0.433466378"," 0.050433709"," 0.334710158"," 0.299514799","-0.037803040","-0.174763004"," 0.065577223","-0.014533796","-0.029614469"," 0.131128268"," 0.178145785"," 0.349266419","-0.192871329"
"Oxoglutaric acid","-0.079501708","-0.025276134","-0.211658117","-0.030836957","-0.169637519","-0.339667007"," 0.247726214"," 0.286712839"," 0.050837788"," 0.087026738"," 0.164140033","-0.127328697","-0.250624217","-0.115846683","-0.015478791","-0.175969003","-0.160111564","-0.080190211","-0.239810086","-0.181076467","-0.009818914","-0.161038272"," 0.174828171"," 0.212688619","-0.150160664"," 0.109650732","-0.009092579","-0.272000225"," 0.142600183","-0.078042220","-0.271695614"," 0.437563879"," 0.660332993"," 0.221599268"," 0.414738232","-0.097906765","-0.024464782","-0.190168052","-0.258669555"," 0.515625116"
"Ascorbate"," 0.312924973"," 0.165282871"," 0.113662436"," 0.101030908"," 0.247550886","-0.063683810","-0.113114157","-0.011094375"," 0.090122424","-0.211801378","-0.009451071","-0.065803856","-0.120078060"," 0.020285838","-0.043451029"," 0.091879903","-0.111634958","-0.282877953","-0.346469075","-0.257309523","-0.212466673"," 0.110715654","-0.204695970","-0.195973920","-0.175303360","-0.098994028"," 0.231974882","-0.012404612"," 0.122072159","-0.198446114","-0.088005914"," 0.013615880"," 0.653530925"," 0.092225721"," 0.111024815"," 0.365649924"," 0.191194668"," 0.052109365","-0.168540273","-0.095254126"
"1-Aminocyclopropanecarboxylic acid","-0.059125337","-0.065029025"," 0.256240645"," 0.504472716","-0.063944090"," 0.074125302"," 0.839965568"," 0.466129640","-0.079675593"," 0.764209184","-0.080357617"," 0.085286458"," 0.143376727"," 0.075054075","-0.085648957"," 0.036352966"," 0.127273107","-0.092717952","-0.085441124"," 0.275469567"," 0.004607999","-0.160034269","-0.160034432","-0.160033518","-0.160034289","-0.160032762","-0.160032074","-0.160033807","-0.160033340","-0.160031865","-0.160033863","-0.160032092","-0.160032595","-0.160033349","-0.160032037","-0.160033852","-0.160032162","-0.160031382","-0.160031457","-0.160031112"
"Pantothenic acid"," 0.412362278"," 0.427513582"," 0.222112629"," 0.343304982"," 0.432766786"," 0.502871790"," 0.296074580"," 0.129532390","-0.074210901"," 0.520795781","-0.043039914","-0.006898812","-0.188561701"," 0.345045328","-0.107457176","-0.036190890"," 0.237340163","-0.430766734","-0.379931595"," 0.217789219","-0.253616382"," 0.084864336","-0.187155662"," 0.071423457","-0.479204219"," 0.081013252","-0.072669028","-0.308833151","-0.282416704","-0.072224026","-0.288623548","-0.053563376","-0.100414305","-0.359809369","-0.077813452","-0.441830424","-0.211761490","-0.164167435","-0.022845821"," 0.319195560"
"D-Lyxose","-0.08522693","-0.14878683","-0.22995415","-0.10083915","-0.15296030","-0.14853024","-0.12943886","-0.05365470","-0.05687916","-0.19360831","-0.08325430","-0.14866819","-0.08920632","-0.01088016","-0.07574783","-0.01461407","-0.09014512","-0.08557673","-0.07431484","-0.09528467","-0.03654666","-0.11183445","-0.10773619"," 0.06893004","-0.02311910","-0.06094254"," 0.06892963","-0.07612247"," 0.06553100","-0.02764643"," 0.08727817"," 0.10733853"," 0.77004585"," 0.18479156"," 0.13132126"," 0.24837478"," 0.19797075"," 0.14041961"," 0.16574677"," 0.27484076"
"Aniline","-0.14203961","-0.22928166","-0.23442539","-0.14045520","-0.22492982","-0.22979084","-0.22225209","-0.07674855","-0.11817287","-0.11852567","-0.22669760","-0.22019744","-0.21686303","-0.08073685"," 0.01994955","-0.02029155","-0.20759920","-0.21055325","-0.21157519"," 0.11428765","-0.10835132","-0.13107256","-0.06510867","-0.08383818"," 0.19115758"," 0.74352806","-0.07879602"," 0.33960031","-0.08965724","-0.11589383"," 0.41557574","-0.07470533"," 0.62979965"," 0.66356880"," 0.53641927"," 0.47522564","-0.06145309","-0.01214260"," 0.07951432","-0.25647194"
"L-Cysteine"," 0.064329622"," 0.016289051","-0.041814210","-0.015123648"," 0.134244401","-0.050463354"," 0.294819987"," 0.118647968"," 0.067308268"," 0.369644156"," 0.885785703"," 0.030962716","-0.058323913","-0.001492053"," 0.006986942","-0.034263324","-0.001085145"," 0.036675360","-0.022523027","-0.033377026","-0.084081805","-0.083729450","-0.036943778","-0.070520886","-0.100555589","-0.086120891","-0.094919357","-0.114214297","-0.090654355","-0.099504049","-0.102617105","-0.089222050","-0.031836370","-0.099734478","-0.083677586","-0.098634369","-0.105747202","-0.096797963","-0.093701354","-0.104015542"
"Catechol","-0.08792793","-0.08947587"," 0.11140750"," 0.33300739","-0.11229430"," 0.18967771"," 0.12790805"," 0.79936559"," 0.10257477"," 0.80906613"," 0.10422753","-0.09315760","-0.10079187"," 0.21189065","-0.07172028"," 0.47825267","-0.07438368","-0.07061317"," 0.21274512"," 0.67963233","-0.19093387","-0.19093178","-0.19093208","-0.19093044","-0.19093182","-0.19092908","-0.19092785","-0.19093096","-0.19093012","-0.19092748","-0.19093106","-0.19092788","-0.19092878","-0.19093013","-0.19092778","-0.19093104","-0.19092801","-0.19092661","-0.19092674"," 0.16827277"
"Methoxamine","-0.44784589","-0.27987976","-0.16179797","-0.14871236"," 0.07761830","-0.07443695","-0.22764682","-0.30041524"," 0.23521502","-0.36462742"," 0.20340077","-0.16320981","-0.06520973","-0.13208437"," 0.17609749"," 0.21995866"," 0.35269658","-0.13689605","-0.06634961"," 0.55215411","-0.20113932","-0.08000706"," 0.41354240"," 0.33227857","-0.16964374","-0.07328112"," 0.08809999"," 0.06800127","-0.05625518"," 0.28189420","-0.01289964"," 0.13729602"," 0.08464132","-0.01270856"," 0.12741346","-0.13654637"," 0.23659861"," 0.07511035","-0.07883453","-0.27158960"
"Acetylcholine"," 0.037249855","-0.097262330","-0.121297922","-0.403872711","-0.396715147","-0.398437691","-0.403079263","-0.079095222","-0.097221813","-0.086710563","-0.099516755","-0.169148126","-0.004891365","-0.110144139","-0.075907351","-0.119425062","-0.158131396","-0.112754308","-0.241643307","-0.075737969","-0.183369088","-0.206655720","-0.138256045","-0.002165380"," 0.072598368"," 0.315746251"," 0.129262755"," 0.015388846"," 0.145454016"," 0.269932945"," 0.148170489","-0.201214356"," 0.596127289"," 0.159071756"," 0.231944745"," 0.357972994"," 0.270185738"," 0.454077146"," 0.507532464"," 0.271937371"
"Sphingosine 1-phosphate","-0.2033659425","-0.3381787777","-0.0771529075"," 0.0146227769"," 0.0515538008"," 0.3394143163","-0.1406239736","-0.2507003723","-0.0069070375","-0.1319020987","-0.2040510847","-0.0499704043"," 0.0597783722","-0.1339999913","-0.1278795307","-0.2511234981","-0.2963077162","-0.2520284500","-0.3210931457","-0.2825800488","-0.0521122811"," 0.0006834762"," 0.0247056337"," 0.1198337924"," 0.0564005236"," 0.1187130600"," 0.6618212223","-0.0367100141","-0.0335242786"," 0.1101620577"," 0.1701635668"," 0.3514205135"," 0.1973339694","-0.0983765734"," 0.1199024818"," 0.1384597670"," 0.0682570983"," 0.1862630420","-0.1454343815"," 0.6445330375"
"Chavicol","-0.2313899275"," 0.2831963407"," 0.1854243965"," 0.2064282276"," 0.3503738841"," 0.2715626777","-0.1463157684","-0.1340771908","-0.2610117757"," 0.3598484271","-0.2370543871"," 0.0682910066"," 0.0301432089"," 0.0810166116"," 0.0789754445"," 0.1103931040"," 0.0200554943","-0.1521326844","-0.1160889688","-0.0616593962"," 0.0883565288"," 0.0580540732","-0.3083072879","-0.0232665507","-0.1228721887","-0.2622553767"," 0.1151498381","-0.2457281360","-0.0709635964","-0.0323395166","-0.0206046492"," 0.2483110930","-0.2114680984"," 0.1243057767"," 0.1600632723","-0.0004472233"," 0.2464765442","-0.6401515729"," 0.1910936688"," 0.0006146770"
"Lubiprostone","-0.102704893"," 0.019370643","-0.123524150"," 0.005641595"," 0.039110722","-0.074590571","-0.050535625","-0.104227858","-0.112635120","-0.079490448","-0.167470725","-0.056625942","-0.078615278"," 0.020387954","-0.153303577","-0.135450684","-0.153712698","-0.129725362","-0.131230896","-0.163848111","-0.245732322"," 0.005358847","-0.214801257","-0.052047941","-0.023909673","-0.171631129","-0.027325708"," 0.169550735"," 0.024061307"," 0.451772192"," 0.127902599"," 0.081048531"," 0.019194006"," 0.232295668","-0.023352280"," 0.239762955"," 0.089366265"," 0.238915633"," 0.058484918"," 0.754267678"
"6-Hydroxymelatonin"," 0.053891082"," 0.266263817"," 0.158373772","-0.153763464"," 0.224397011","-0.017490076","-0.067155734"," 0.132520182","-0.153926420","-0.263910888","-0.226788252"," 0.187151159"," 0.034866272","-0.068019662"," 0.179426494"," 0.226758992","-0.005260316"," 0.172312820"," 0.100575893"," 0.068937980","-0.079184445","-0.235373503","-0.269550907"," 0.224590658"," 0.017228398","-0.520646814","-0.275006127","-0.219139606","-0.051635168"," 0.471978227"," 0.180339322"," 0.255941726","-0.028952376"," 0.171160137","-0.528021773","-0.228190794"," 0.026028012"," 0.301261405","-0.193918042"," 0.131931009"
"Metoclopramide"," 0.010048829","-0.029264390","-0.033591395","-0.166964465","-0.062689379"," 0.033259788","-0.081059342","-0.059031497"," 0.055169302","-0.063063381"," 0.060228738","-0.109455485"," 0.040206991","-0.086487729","-0.086278665","-0.127926660","-0.113868536","-0.128115381","-0.126829720","-0.117165534","-0.104055069","-0.052252011","-0.067028195","-0.043015723","-0.038866972","-0.019389029","-0.013361015","-0.028550289","-0.012649969"," 0.159560610","-0.011167464"," 0.059544153"," 0.008827444","-0.007004453"," 0.057571882"," 0.097284254"," 0.058617755"," 0.121006187"," 0.194770278"," 0.833035535"
"Enalapril","-0.0325672793"," 0.2159076225"," 0.2148157866"," 0.0739189213"," 0.2629893331"," 0.0118801606"," 0.3424805090"," 0.0792459428"," 0.1127140155"," 0.0712877139","-0.0510031001"," 0.2688150271"," 0.2481563370"," 0.4885961380"," 0.0948717731"," 0.0966549054"," 0.0026674172","-0.0005968141","-0.0138321087","-0.0086650930","-0.3511809038"," 0.1181936796","-0.4501237870","-0.0278627321","-0.0498434837","-0.4016500991","-0.2051557653","-0.0287708560","-0.2150734542"," 0.5498762130","-0.1182143249","-0.1199382668","-0.2369401317"," 0.1827099993","-0.3513790794","-0.0209107840","-0.3148914809","-0.0380623839","-0.3693391417","-0.0297804253"
"Oxyphencyclimine","-0.006511325"," 0.214850564"," 0.092242195"," 0.203456440"," 0.331165296"," 0.139894417"," 0.037643673","-0.135806419"," 0.059107586"," 0.027209291","-0.249870776"," 0.200664268"," 0.139364555"," 0.363469799"," 0.016623106"," 0.139354906","-0.055891009","-0.159068476","-0.028943572"," 0.046055817","-0.379666687"," 0.138141194","-0.341218900","-0.201117096","-0.210696316","-0.221476738","-0.276485244"," 0.144571272","-0.156274590"," 0.421790052"," 0.074950366","-0.086827085","-0.129682974"," 0.028002552","-0.080398186"," 0.068990943","-0.098541463","-0.495394696","-0.078282043"," 0.504605304"
"Tamoxifen"," 0.585612251"," 0.225952537"," 0.341660124"," 0.404119102"," 0.300004554"," 0.163489848"," 0.394351734"," 0.427721770"," 0.210958409"," 0.217568696"," 0.178897270"," 0.275531789","-0.007101768"," 0.278286737"," 0.073296313"," 0.233385335","-0.118226061"," 0.104539355"," 0.016003357","-0.004301820","-0.372398762","-0.333657665","-0.050893095","-0.385545948","-0.178278051","-0.059352494","-0.078227626","-0.205467192","-0.108060523"," 0.058710537","-0.163075139","-0.114545351","-0.403348666","-0.152561545","-0.385614878","-0.408423002","-0.113221063","-0.165202566","-0.268198755","-0.414387749"
"Mirtazapine"," 0.06152947"," 0.35916405","-0.02757978","-0.03298341"," 0.03992834"," 0.30807459","-0.12882058","-0.04254174","-0.00980752","-0.05586692","-0.14580609"," 0.03583196","-0.10681993","-0.17143781"," 0.05371277","-0.21806622","-0.24648852","-0.25941926","-0.32151220","-0.29578969","-0.07762695"," 0.02867140"," 0.02940572"," 0.02013161","-0.14526510"," 0.12149256"," 0.05477914","-0.04769003"," 0.22194973","-0.02957991","-0.16100720"," 0.06189010"," 0.67848780"," 0.13864395"," 0.04967535"," 0.04032366","-0.03128583"," 0.03164186"," 0.19242035"," 0.02764026"
"Azacitidine","-0.205269050","-0.177030349","-0.254986379","-0.304890036","-0.201743733","-0.227378390","-0.219355449","-0.064065739","-0.182844446","-0.120411966","-0.068725555","-0.071668919"," 0.345313141","-0.077878370"," 0.388582547"," 0.086916026"," 0.399589673"," 0.014207344"," 0.015206089"," 0.311013199","-0.101799220","-0.159667317"," 0.181401862"," 0.695109964","-0.030025333"," 0.039580404","-0.166564574","-0.143596722"," 0.016314381","-0.019795396"," 0.219244937"," 0.063746740","-0.177988523","-0.022512570"," 0.092884852","-0.187344995"," 0.070673433"," 0.346882029","-0.107343019"," 0.006219427"
"Bupropion"," 0.36478450"," 0.56264467"," 0.39924052"," 0.06478735"," 0.28882121"," 0.01925333"," 0.20556416"," 0.42406263","-0.06558657","-0.16001392","-0.05434506"," 0.16485420","-0.06524051"," 0.08401097"," 0.34883226"," 0.04777368"," 0.18661402"," 0.32614790","-0.05748952","-0.11035531","-0.30669310","-0.31463540"," 0.06125875","-0.17021155","-0.29506112"," 0.13060348","-0.31376803","-0.33856610","-0.22592389"," 0.60868973"," 0.13767836","-0.17696902","-0.25028217"," 0.43383858","-0.34882741","-0.34391086","-0.37153866","-0.11211980","-0.38661207","-0.39131027"
"Dicyclomine"," 0.049682077"," 0.035706193"," 0.025500583"," 0.025115991","-0.015594550","-0.013309119","-0.018992435","-0.008612740","-0.013148737","-0.004889001","-0.018668084","-0.015401816","-0.026062471","-0.021899859","-0.023380705","-0.020276453","-0.025889082","-0.021583578","-0.023654213","-0.021390554","-0.042163769","-0.042163145","-0.042163233","-0.042162743","-0.042163156","-0.042162337","-0.042161969","-0.042162898","-0.042162647","-0.042161857","-0.042162927","-0.042161978","-0.042162248","-0.042162652","-0.042161949","-0.042162921","-0.042162016","-0.042161598","-0.042161638"," 0.957836231"
"gamma-Glutamylalanine","-0.050663154","-0.036981173","-0.114944989","-0.075352261","-0.126646072","-0.080000888","-0.124744120","-0.065692699","-0.156626511","-0.130733847","-0.261907345","-0.085953768","-0.127559397"," 0.017705856","-0.095854453","-0.123297238","-0.015662153"," 0.006650199","-0.103996193","-0.187348822","-0.040714897"," 0.014117700"," 0.105735985"," 0.014271730"," 0.224187657"," 0.065884039","-0.040233904"," 0.163837253"," 0.069374934"," 0.118425089"," 0.017160316"," 0.061472298"," 0.210156302"," 0.082808315"," 0.449121937"," 0.736610774"," 0.163974499","-0.263389226","-0.138542531","-0.074649242"
"Biotin","-0.00771001"," 0.15385600"," 0.01285472"," 0.08106783"," 0.22669172","-0.10744763"," 0.37684279"," 0.04365366"," 0.16172711"," 0.02123435","-0.11481791"," 0.15905237"," 0.27057795"," 0.19870180","-0.07484974","-0.08751252","-0.04009894","-0.01291221","-0.21638581","-0.16028982","-0.30318039"," 0.08351230","-0.29854127","-0.07383135","-0.01762807","-0.36434483"," 0.03835081"," 0.13932351","-0.22401185"," 0.63565517","-0.05590429","-0.06824350","-0.18688051"," 0.06991616","-0.31760166"," 0.12312541","-0.25976012"," 0.22369031","-0.19456174"," 0.16668023"
"Sphingosine","-0.14753683","-0.18676629","-0.16136485","-0.12319325","-0.14443792","-0.12426398","-0.15961252","-0.16758232","-0.14431859","-0.13405962","-0.15527407","-0.11327959","-0.16975033","-0.17037997","-0.17325814","-0.16197192","-0.16360068","-0.18653452","-0.20613499","-0.18569496","-0.05033926","-0.05662826","-0.02928265"," 0.40676141","-0.03226312"," 0.02309264"," 0.17011016"," 0.44729392"," 0.24404363"," 0.02242237","-0.01807054"," 0.11426876"," 0.43767248"," 0.26229715"," 0.09493429"," 0.57627536"," 0.34140754","-0.23081646"," 0.72791798","-0.27208202"
