source;target;correlation
l-aspartic acid;2-oxoarginine;0.09461521192746294
l-aspartic acid;l-threonine;0.34191545920976774
l-aspartic acid;l-cysteine;0.1626539016234937
l-aspartic acid;l-arginine;0.28008076952293104
l-cysteine;uric acid;0.183518473237105
l-cysteine;deoxyinosine;0.08998999787031103
l-cysteine;guanine;-0.3098545649091519
l-cysteine;sulfate;-0.09170198950997686
l-cysteine;inosine;-0.16575622772127693
l-cysteine;l-valine;-0.5023685084430167
l-cysteine;l-threonine;0.07668482410837951
l-cysteine;l-aspartic acid;0.1626539016234937
l-cysteine;l-threonine;0.07668482410837951
l-cysteine;choline;-0.0679103072837917
l-cysteine;cis-4-hydroxy-d-proline;0.12121841568863272
l-cysteine;diaminopimelic acid;0.17105316607418386
l-cysteine;2-oxoarginine;-0.7007492657406681
l-cysteine;l-aspartic acid;0.1626539016234937
l-cysteine;l-threonine;0.07668482410837951
l-cysteine;l-arginine;-0.14136818976879806
uric acid;deoxyinosine;-0.19275310402579207
uric acid;guanine;-0.2568460100159773
uric acid;sulfate;-0.3057287930125615
uric acid;inosine;-0.5593527167356851
uric acid;l-valine;0.18393901336255633
uric acid;l-threonine;-0.4452484646734147
uric acid;l-aspartic acid;-0.2947116769631803
uric acid;l-threonine;-0.4452484646734147
uric acid;choline;0.1823569680366449
uric acid;l-cysteine;0.183518473237105
uric acid;cis-4-hydroxy-d-proline;-0.395927954960935
uric acid;diaminopimelic acid;-0.06362126127590868
uric acid;2-oxoarginine;-0.03791892574146612
uric acid;l-aspartic acid;-0.2947116769631803
uric acid;l-threonine;-0.4452484646734147
uric acid;l-cysteine;0.183518473237105
uric acid;l-arginine;-0.6381178214729266
deoxyinosine;guanine;-0.0191266829720042
deoxyinosine;sulfate;0.06916550604675228
deoxyinosine;inosine;0.5091331127054826
deoxyinosine;l-valine;-0.3328366479437656
deoxyinosine;l-threonine;0.08218116080650777
deoxyinosine;l-aspartic acid;0.5178761427410528
deoxyinosine;l-threonine;0.08218116080650777
deoxyinosine;choline;0.44965728260920185
deoxyinosine;l-cysteine;0.08998999787031103
deoxyinosine;cis-4-hydroxy-d-proline;-0.01820440404341099
deoxyinosine;diaminopimelic acid;0.014825696553574975
deoxyinosine;2-oxoarginine;-0.09517241219112459
deoxyinosine;l-aspartic acid;0.5178761427410528
deoxyinosine;l-threonine;0.08218116080650777
deoxyinosine;l-cysteine;0.08998999787031103
deoxyinosine;l-arginine;0.3231538036263078
guanine;sulfate;-0.1838564271599147
guanine;inosine;0.2986555502678315
guanine;l-valine;0.38518503737293597
guanine;l-threonine;0.18354185750343602
guanine;l-aspartic acid;-0.1429432121779731
guanine;l-threonine;0.18354185750343602
guanine;choline;-0.2282153808895729
guanine;l-cysteine;-0.3098545649091518
guanine;cis-4-hydroxy-d-proline;0.2616629039842417
guanine;diaminopimelic acid;0.0493571638504016
guanine;2-oxoarginine;0.33913003460969415
guanine;l-aspartic acid;-0.1429432121779731
guanine;l-threonine;0.18354185750343602
