source;target;correlation
uric acid;l-cysteine;0.2719334822752127
uric acid;cis-4-hydroxy-d-proline;-0.11199361969271641
uric acid;diaminopimelic acid;-0.015619462132249563
uric acid;2-oxoarginine;-0.031025569619489594
uric acid;l-aspartic acid;-0.13639344782422705
uric acid;l-threonine;0.5566299942719715
uric acid;l-cysteine;0.2719334822752127
uric acid;l-arginine;-0.16969455155239807
deoxyinosine;guanine;0.05988505689688605
deoxyinosine;sulfate;-0.09248609746364503
deoxyinosine;inosine;-0.06732914211620362
deoxyinosine;l-valine;0.02642141853218265
deoxyinosine;l-threonine;-0.028586204666629422
deoxyinosine;l-aspartic acid;-0.07817204239293479
deoxyinosine;l-threonine;-0.028586204666629422
deoxyinosine;choline;-0.34086430437987586
deoxyinosine;l-cysteine;-0.07865418299982786
deoxyinosine;cis-4-hydroxy-d-proline;0.3808574897323785
deoxyinosine;diaminopimelic acid;-0.08636773784935733
deoxyinosine;2-oxoarginine;-0.06844433908897596
deoxyinosine;l-aspartic acid;-0.07817204239293479
deoxyinosine;l-threonine;-0.028586204666629422
deoxyinosine;l-cysteine;-0.07865418299982786
deoxyinosine;l-arginine;-0.22438644152399037
guanine;sulfate;-0.03312672729310498
guanine;inosine;0.02788827071191398
guanine;l-valine;0.16390961099907425
guanine;l-threonine;-0.6934986100834365
guanine;l-aspartic acid;0.09810135581981724
guanine;l-threonine;-0.6934986100834365
guanine;choline;-0.13779464123634017
guanine;l-cysteine;0.03847275596115335
guanine;cis-4-hydroxy-d-proline;0.2254968722695785
guanine;diaminopimelic acid;0.06217116867522403
guanine;2-oxoarginine;0.061396339948095874
guanine;l-aspartic acid;0.09810135581981724
guanine;l-threonine;-0.6934986100834365
guanine;l-cysteine;0.03847275596115335
guanine;l-arginine;-0.0820148829612175
sulfate;inosine;0.43767829140005937
sulfate;l-valine;0.18660197439195753
sulfate;l-threonine;-0.15633873259442221
sulfate;l-aspartic acid;0.02244954442023116
sulfate;l-threonine;-0.15633873259442221
sulfate;choline;0.3141042842782568
sulfate;l-cysteine;0.510741412639686
sulfate;cis-4-hydroxy-d-proline;-0.001184818692331127
sulfate;diaminopimelic acid;0.0963561463945308
sulfate;2-oxoarginine;0.11354348614501691
sulfate;l-aspartic acid;0.02244954442023116
sulfate;l-threonine;-0.15633873259442221
sulfate;l-cysteine;0.510741412639686
sulfate;l-arginine;0.22286143358471627
inosine;l-valine;0.045704990909461236
inosine;l-threonine;-0.2562482278699215
inosine;l-aspartic acid;-0.17581023607710455
inosine;l-threonine;-0.2562482278699215
inosine;choline;0.18821599620889962
inosine;l-cysteine;0.1337041266500399
inosine;cis-4-hydroxy-d-proline;-0.2721406259210308
inosine;diaminopimelic acid;-0.08482333531956752
inosine;2-oxoarginine;-0.05216804832515635
inosine;l-aspartic acid;-0.17581023607710455
inosine;l-threonine;-0.2562482278699215
inosine;l-cysteine;0.1337041266500399
inosine;l-arginine;-0.12520268875555735
l-valine;l-threonine;-0.23709789224013583
l-valine;l-aspartic acid;0.533293730752484
l-valine;l-threonine;-0.23709789224013583
l-valine;choline;0.5579766594770166
l-valine;l-cysteine;0.19478852014526202
l-valine;cis-4-hydroxy-d-proline;0.11248599323755613
l-valine;diaminopimelic acid;0.8403552596832226
l-valine;2-oxoarginine;0.8457712878468671
l-valine;l-aspartic acid;0.533293730752484
l-valine;l-threonine;-0.23709789224013583
l-valine;l-cysteine;0.19478852014526202
l-valine;l-arginine;0.6867305903046509
l-threonine;l-aspartic acid;-0.13439848614628244
l-threonine;choline;-0.13096496820806722
l-threonine;l-cysteine;-0.22420921076248024
l-threonine;cis-4-hydroxy-d-proline;-0.11697932794344389
l-threonine;diaminopimelic acid;-0.03175347975606896
